datapoint,factValue
dp475244,14312062143.19
dp475245,23858346.05
dp475246,7349311.74
dp475252,5372414216.38
dp475254,5517547628.97
dp475260,9330631855.83
dp475261,52687022.48
dp475262,336535304.12
dp475268,129969580.22
dp475270,170972284.16
dp475282,8031525318.07
dp475283,56856818.05
dp475284,61304364.09
dp475290,5089240739.47
dp475291,27819832.5
dp475292,122790398.63
dp475328,60966641875.3
dp475329,330620937.16
dp475330,6290712839.13
dp475332,8680760201.24
dp475333,117327910.08
dp475334,6459291.85
dp475336,10020037820.9
dp475337,52071008
dp475338,67754255.57
