datapoint,factValue
dp3526694,4788693.52
dp3526695,567028364
dp3526697,17150790.8
dp3526707,1898811978.04
dp3526727,10196336.54
dp3526730,10196336.54
dp3526745,67780963.9
dp3526746,62652660.24
dp3526888,298488567.89
dp3526895,281667888.7
dp3526904,2440766.24
dp3526913,81515847.41
dp3526939,43747956.38
dp3526973,98708099.37
dp3527061,7123672169.36
dp3527062,62652660.24
dp3527063,10054466.62
dp3527064,1970785977.84
dp3527065,535898633.36
dp3527066,292458751.15
dp3527067,140924337.12
dp3527072,508382753.84
dp3527075,3916445091.71
dp3527076,10785718884.93
dp3527096,1601945399.92
dp3527097,10657536880.06
dp3527098,275222065.75
dp3527099,1993637.24
dp3527110,130560837.43
dp3527111,37697023.17
dp3527124,17961969.03
dp3527139,29947877.86
dp3527221,37427544.23
dp3527238,24805014869.55
dp3527239,7051592864.85
dp3527243,492317011.57
dp3527249,426866906.43
dp3527252,3898483122.68
dp3527267,43581621.79
dp3527268,166334.59
dp3527285,2216237.5
dp3527287,81515847.41
dp3527291,2216237.5
dp3527292,9673943.36
dp3527295,95846794.51
dp3527302,281667888.7
dp3527306,16820679.19
dp3527453,214231.14
dp3527494,1898811978.04
dp3527526,53883145.67
dp3527529,2549289.67
dp3527530,62652660.24
dp3527531,2440766.24
dp3527532,1151734504.78
dp3527566,98708099.37
dp3527574,98708099.37
dp3527598,520517441.31
dp3527605,520517441.31
dp3527615,37427544.23
dp3527668,28986834767.38
dp3527669,126094028.22
dp3527670,659875401.28
dp3527673,567028364
dp3527675,800841504.99
dp3527679,140924337.12
dp3527680,5575246720.26
dp3527681,1658801628.55
dp3527705,29947877.86
dp3527764,37427544.23
dp3527789,10054466.62
dp3527790,659875401.28
dp3527791,6342551.12
dp3527796,426866906.43
dp3527801,5500428522.6
dp3527803,113336.63
dp3527819,116341919.33
dp3527822,143627.87
dp3527832,74818197.66
dp3527833,56856228.63
dp3527834,11840085.54
dp3527838,1008269158.64
dp3527839,4914072.52
dp3527844,6061903.19
dp3527845,265.01
dp3527846,520517441.31
dp3527922,2572456.02
dp3527926,10790862.45
dp3527927,46510922.69
dp3527928,506803128.56
dp3527932,674563434.62
dp3528379,1195069983.14
dp3528382,156773172.55
dp3528387,126094028.22
dp3528392,28302959.37
dp3528398,2572456.02
dp3528401,10790862.45
