datapoint,factValue
dp3524823,27476615464.31
dp3524824,3224086151.65
dp3524828,2058486731.17
dp3524839,0
dp3524840,1296988788.37
dp3524841,831005719.02
dp3524842,11456847975.78
dp3524843,497495525.1
dp3524844,498752948.78
dp3524845,6384659197.66
dp3524846,0
dp3524847,694740384.16
dp3524848,22422286.47
dp3524849,270873912.5
dp3524850,0
dp3524851,0
dp3524852,2228474052.2
dp3524853,1444918021.81
dp3524854,2902238.82
dp3524855,258898279.09
dp3524856,1750659133.25
dp3524857,1333935635.56
dp3524866,1326233921.63
dp3524867,150450183.62
dp3524868,12532677784.73
dp3524869,621159717.42
dp3524870,485334925.84
dp3524871,0
dp3524872,0
dp3524873,0
dp3524874,0
dp3524875,0
dp3524876,632481476.98
dp3524877,590559399.28
dp3524878,4960509.66
dp3524879,12870242.15
dp3524880,580846924.32
dp3524881,425356481.47
dp3524882,770934242.86
dp3524883,775489516.27
dp3524884,475253918.32
dp3524885,6881580422.15
dp3524886,6570325398.01
dp3524887,81582998.9
dp3524888,94755148.9
dp3524889,2751189889.23
dp3524890,2729009513.67
dp3524891,1464674323.6
dp3524892,1559546613.07
dp3524893,0
dp3524894,0
dp3524895,0
dp3524896,21288373088.76
dp3524897,13916316976.64
dp3524898,9567474270.5
dp3524900,0
dp3524901,1513114171.21
dp3524917,18712831006.45
dp3524918,5307365925.66
dp3524919,30259634987.18
dp3524920,15932436508.12
dp3524921,13423280948.9
dp3524922,13560663942.95
dp3524923,3205382551.39
dp3524924,3643181408.66
dp3524925,3284400190.59
dp3524926,10834006458.65
dp3524927,10961478721.09
dp3524928,10298325634.23
dp3524929,0
dp3524930,0
dp3524931,0
dp3524932,5690636190.35
dp3524933,3596549314.88
dp3524934,4099929.01
dp3524935,187510021.32
dp3524936,0
dp3524937,0
dp3524938,0
dp3524939,0
dp3524940,0
dp3524941,0
dp3524942,0
dp3524943,0
dp3524944,0
dp3524945,0
dp3524946,0
dp3524947,0
dp3524948,0
dp3524949,917511226.4
dp3524950,1007650238.01
dp3524951,1647417654.88
dp3524955,1635585883.08
dp3524956,182979699.39
dp3524957,1762904305.59
dp3524988,3279073225.69
dp3524989,1302159.95
dp3525009,23681189293.36
dp3525010,19881404524.84
dp3525011,4779405955.85
dp3525012,5765860486.9
dp3525013,30839938416.95
dp3525014,28978901767.42
dp3525015,4678489081.84
dp3525016,7505.04
dp3525017,0
dp3525018,324619719.97
dp3525019,13948139.96
dp3525020,0
dp3525021,0
dp3525022,0
dp3525023,0
dp3525024,0
dp3525025,1287182352.02
dp3525026,1118610389.16
dp3525027,310700402.19
dp3525028,243385760.71
dp3525029,163959709.34
dp3525030,63656237.94
dp3525031,123831903.6
dp3525032,12799731816.18
dp3525033,11922740713.86
dp3525034,731712299.03
dp3525035,0
dp3525036,0
dp3525037,0
dp3525038,0
dp3525039,932911194.61
dp3525040,5512659.95
dp3525041,532293923.84
dp3525042,523641110.9
dp3525043,562273237.44
dp3525044,696731813.44
dp3525045,6751530341.41
dp3525046,87439089.34
dp3525047,88494897.47
dp3525048,110943974.04
dp3525049,117258066.24
dp3525050,2942039843.64
dp3525051,1300353737.58
dp3525052,0
dp3525053,0
dp3525054,0
dp3525055,5015973855.65
dp3525359,12814899837.43
dp3525360,13521197295.95
dp3525361,3534395650.82
dp3525362,2982748888.4
dp3525363,32217546478.88
dp3525380,2845085668.55
dp3525382,0
dp3525384,356417367.18
dp3525385,0
dp3525386,0
dp3525387,12043253218.54
dp3525388,11379407258.13
dp3525389,520679941.47
dp3525390,0
dp3525391,0
dp3525392,21886733.33
dp3525393,18098540.34
dp3525394,22197236.08
dp3525395,6486210018.54
dp3525396,2483077617.75
dp3525397,2680945099.96
dp3525398,0
dp3525399,0
dp3525400,0
dp3525401,29431289594.68
dp3525402,12095001176.77
dp3525403,3552152390.7
dp3525407,2788319077.8
dp3525408,6146077534.48
dp3525409,2627582684.44
dp3525410,2427369127.74
dp3525431,32476825030.73
dp3525432,30757655803.78
dp3525433,3257483089.86
dp3525434,13712827588.33
dp3525435,0
dp3525437,532148228.57
dp3525438,10814370994.37
dp3525441,2710285263.84
dp3525442,2488283690.49
dp3525443,6338845758.16
dp3525444,6555957149.07
dp3525445,0
dp3525446,700393999.31
dp3525447,763674043.64
dp3525448,11970464098.79
dp3525449,0
dp3525450,0
dp3525451,0
dp3525452,0
dp3525453,224502950.07
dp3525454,48044773.21
dp3525457,0
dp3525458,0
dp455388,0
dp455389,0
dp455390,0
dp455423,343442821.92
dp455425,47574367.63
dp455427,765718416.63
dp455448,0
dp455449,0
dp455450,1354550970.15
dp455476,0
dp455526,67634020.38
dp455527,266141600.81
dp455528,5576314374.98
dp455561,0
dp455564,0
dp455567,0
dp458581,40779459895.92
dp458777,0
dp458786,13303397.16
dp458793,0
dp458803,0
dp458835,375839889.07
dp458848,0
dp475569,41859512819.25
dp475570,43167143240.23
dp475571,43099215863.71
