datapoint,factValue,RIO
dp149626,14800.11,eba_GA:SK
dp149626,53747635.84,eba_GA:LU
dp149626,14916.08,eba_GA:SI
dp149626,6987.6,eba_GA:LT
dp149626,25204819.14,eba_GA:SE
dp149626,2794.27,eba_GA:KR
dp149626,58496.04,eba_GA:RO
dp149626,18944236.7,eba_GA:JP
dp149626,14917998.64,eba_GA:NO
dp149626,66495061.55,eba_GA:GB
dp149630,0.01587,eba_GA:JP
dp149630,0.066589,eba_GA:FR
dp149630,0.058133,eba_GA:NL
dp149630,0.000016,eba_GA:EE
dp149630,0.013113,eba_GA:IE
dp149630,0,eba_GA:LV
dp149630,0.004928,eba_GA:DK
dp149630,0.002963,eba_GA:HU
dp149630,0.000027,eba_GA:HR
dp149630,0.000429,eba_GA:AU
dp149630,0.00127,eba_GA:HK
dp149630,0,eba_GA:AM
dp149630,0.055703,eba_GA:GB
dp149630,0.000046,eba_GA:CL
dp149630,0.03643,eba_GA:CA
dp149630,0,eba_GA:BG
dp149630,0.002662,eba_GA:BE
dp149630,0.000816,eba_GA:CZ
dp149630,0.000007,eba_GA:CY
dp149630,0,eba_GA:IS
dp149630,0.012497,eba_GA:NO
dp149630,1,eba_GA:x1
dp149630,0.414885,eba_GA:DE
dp149630,0.000049,eba_GA:RO
dp149630,0.021114,eba_GA:SE
dp149630,0.106463,eba_GA:x28
dp149630,0.000012,eba_GA:SI
dp149630,0.140933,eba_GA:US
dp149630,0.000012,eba_GA:SK
dp149630,0.045024,eba_GA:LU
dp149630,0.000006,eba_GA:LT
dp149630,0.000002,eba_GA:KR
dp149631,0.01,eba_GA:LV
dp149631,0.015,eba_GA:SK
dp149631,0.01,eba_GA:SI
dp149631,0.005,eba_GA:HK
dp149631,0.01,eba_GA:KR
dp149631,0.01,eba_GA:FR
dp149631,0.015,eba_GA:EE
dp149631,0.015,eba_GA:IE
dp149631,0.01,eba_GA:BE
dp149631,0.025,eba_GA:DK
dp149631,0.005,eba_GA:HU
dp149631,0.01,eba_GA:AU
dp149631,0.015,eba_GA:HR
dp149631,0.015,eba_GA:AM
dp149631,0.005,eba_GA:CL
dp149631,0.02,eba_GA:BG
dp149631,0.0125,eba_GA:CZ
dp149631,0.005,eba_GA:LU
dp149631,0.01,eba_GA:CY
dp149631,0.025,eba_GA:IS
dp149631,0.01,eba_GA:RO
dp149631,0.0075,eba_GA:DE
dp149631,0.01,eba_GA:LT
dp149631,0.025,eba_GA:NO
dp149631,0.02,eba_GA:GB
dp149631,0.02,eba_GA:SE
dp149631,0.02,eba_GA:NL
dp3526957,8120476106.75,eba_GA:GB
dp3526957,9789358464.54,eba_GA:FR
dp3526957,467442.02,eba_GA:EE
dp3526957,390148472.85,eba_GA:DK
