datapoint,factValue
dp132925,-2538730424.67
dp132926,3919102516.84
dp132927,-3737946265.6
dp3525059,0
dp3525060,0
dp3525061,0
dp3525062,0
dp3525503,16425829127.2
dp3525534,18276705639.09
dp3525569,-4056430306.85
dp3525587,-1850876511.89
dp3525641,16865504989.62
dp3526446,eba_qOR:qx2179
dp3526447,eba_qOR:qx2179
dp3526450,-2615956526.41
dp3526551,5015581298.12
dp3526552,4864688115.44
dp3526553,2297407346.97
dp3526554,2875906338.9
dp3526560,-3876362377.61
dp3526624,4232147137.44
dp3527641,7072590708.91
dp3527642,73600967340.02
dp3527643,81838966735.96
dp3527652,19741411328.52
dp3527653,89166982542.5
dp3527851,85348168442.23
dp3527917,18723236474.17
dp3527918,90916469264.21
dp3528326,90916469264.21
dp3528327,18614991711.33
dp3528328,6594050758.85
dp3528329,67559805121.92
dp3528377,85348168442.23
dp3528378,19935030833.47
dp3528940,0.073705
dp3528941,0.03
dp3528942,0.081894
dp3528943,0.075151
dp3528944,0.03
dp3528945,0.078527
dp3528946,0.078527
dp3528947,0.073705
dp3528948,0.081894
dp3528949,0.081894
dp3528950,0.075151
dp3528951,0.075151
dp3528964,9900015801.86
dp3528966,1979884461.52
dp3528971,2073094000.92
dp3529450,3909937085.87
dp3529451,3296606372.96
dp3529827,0
dp3529828,0
dp3529832,-2034083926.31
dp3529833,-1923028489.37
dp3529835,-7826921800.95
dp3529843,-8122397292.69
dp3529857,-13111219619.89
dp3529859,-12149913245.07
dp3529864,-13227871296.48
dp3529872,-12436852114.71
dp3529875,-961306374.82
dp3529877,-337102281.78
dp3529878,-380485276.1
dp3529882,6702141436.46
dp3529909,6700972814.71
dp3529913,0.03
dp3531003,76476800046.48
dp3531004,70556246924.43
dp37598,10102281754.2
dp454675,-791019181.76
dp454820,20921935296.47
dp457445,0.03
