datapoint,factValue
dp3526580,0.14696
dp3526581,0.002973
dp3526582,1
dp3526586,0.971672
dp3526589,0.240515
dp3526591,0.006855
dp3526592,0.005613
dp3526593,0.000917
dp3526594,0.002684
dp3526595,0.971672
dp3526596,1.045443
dp3526598,2.444654
dp3526599,0.816405
dp3526611,0.008132
dp3526614,0.842211
dp3526615,0.750249
dp3526617,1.017403
dp3526700,10003436969.99
dp3526701,3891488364.34
dp3526703,800766504.99
dp3526760,4963568.03
dp3526761,34231396.78
dp3526768,6359777.86
dp3526769,30559203.95
dp3526770,75000
dp3526777,2111832.84
dp3526778,944103.25
dp3526780,1167729.59
dp3526781,1619710.76
dp3526783,27240383115.93
dp3526784,26496980289
dp3526785,7123672169.35
dp3526786,57689092.21
dp3526787,126094028.22
dp3526788,10054466.62
dp3526789,10054466.62
dp3526791,535898633.36
dp3526793,292383751.15
dp3526794,140924337.12
dp3527402,140924337.12
dp3527403,292383751.15
dp3527404,745311464.87
dp3527405,560668586.14
dp3527407,535898633.36
dp3527408,244759606.25
dp3527409,244759606.25
dp3527411,659875401.28
dp3527412,659875401.28
dp3527413,126094028.22
dp3527414,57689092.21
dp3527415,7123672169.35
dp3527420,75000
dp3527421,75000
dp3527428,75000
dp3527431,6890620348.59
dp3527432,1726026371.59
dp3527437,0.01
dp3527438,6976467096.72
dp3527439,1746451651.45
dp3527533,10784099174.17
dp3527534,1534263021.6
dp3527535,1657633898.96
dp3527536,3915500988.46
dp3527537,5425751385.94
dp3527538,5573134887.42
dp3527539,140924337.12
dp3527540,140924337.12
dp3527542,508382753.84
dp3527543,508382753.84
dp3527544,800766504.99
dp3528383,11655168.23
dp3528384,51540351.34
dp3528385,1183414814.92
dp3528386,1368057693.66
dp3529564,122273771.12
dp3529579,60538976.77
dp3529580,14963639.53
dp3529581,3592393.81
dp3529582,11371245.73
dp3529594,1006501602.92
dp3529628,136932248.12
dp3529629,462924875.74
dp3529631,4358162.18
dp3529633,126094028.22
dp3529634,47005109.47
dp3529635,4259894071.23
dp3529772,714960584.2
dp3529773,2005084212.73
dp3529776,21181735.97
dp3529818,837234355.32
dp3529819,136932248.12
