datapoint,factValue,qEEA
dp3294213,0.006727,eba_qAE:qx2012
dp3294213,0.000501,eba_qAE:qx2082
dp3294213,0.055459,eba_qAE:qx2014
dp3294222,0.009253,eba_qAE:qx2082
dp3294222,0.009253,eba_qAE:qx2012
dp3294222,0.014591,eba_qAE:qx2014
dp3294225,0.198987,eba_qAE:qx2012
dp3294225,0.2,eba_qAE:qx2018
dp3294225,0.390231,eba_qAE:qx2014
dp3294228,0.005923,eba_qAE:qx2012
dp3294228,0.006321,eba_qAE:qx2082
dp3294228,0.005993,eba_qAE:qx2014
dp3294229,0.000851,eba_qAE:qx2014
dp3294229,0.000501,eba_qAE:qx2082
dp3294229,0.000114,eba_qAE:qx2020
dp3294229,0.000678,eba_qAE:qx2018
dp3294229,0.000904,eba_qAE:qx2012
dp3294230,1,eba_qAE:qx2014
dp3294230,1,eba_qAE:qx2012
dp3294261,0.002019,eba_qAE:qx2012
dp3294261,0.001871,eba_qAE:qx2082
dp3294261,0.001927,eba_qAE:qx2018
dp3294261,0.002123,eba_qAE:qx2014
dp3294262,0.003563,eba_qAE:qx2012
dp3294262,0.003881,eba_qAE:qx2014
dp3294262,0.004335,eba_qAE:qx2018
dp3294262,0.004113,eba_qAE:qx2082
dp3294273,0.043785,eba_qAE:qx2014
dp3294340,1.87,eba_qAE:qx2012
dp3294340,389210.15,eba_qAE:qx2014
dp3294340,1.87,eba_qAE:qx2082
dp3294344,4.85,eba_qAE:qx2082
dp3294344,897863.74,eba_qAE:qx2014
dp3294344,7822346.19,eba_qAE:qx2012
dp3294345,246649.09,eba_qAE:qx2082
dp3294345,283141.64,eba_qAE:qx2020
dp3294345,748823785.7,eba_qAE:qx2018
dp3294345,668769.33,eba_qAE:qx2014
dp3294345,203790663.27,eba_qAE:qx2012
dp3294591,24768824.39,eba_qAE:qx2014
dp3294593,887841.94,eba_qAE:qx2018
dp3294593,5442880.78,eba_qAE:qx2014
dp3294593,29681618.74,eba_qAE:qx2012
dp3294608,39278746.97,eba_qAE:qx2014
dp3294608,548117577.55,eba_qAE:qx2012
dp3294608,246664,eba_qAE:qx2082
dp3294608,283141.64,eba_qAE:qx2020
dp3294608,857047583.51,eba_qAE:qx2018
dp3294659,267346380.97,eba_qAE:qx2012
dp3294659,3.73,eba_qAE:qx2082
dp3294659,97537052.93,eba_qAE:qx2018
dp3294659,920704.01,eba_qAE:qx2014
dp3294660,39476566.53,eba_qAE:qx2012
dp3294660,4.47,eba_qAE:qx2082
dp3294660,9798902.95,eba_qAE:qx2018
dp3294660,6190494.57,eba_qAE:qx2014
