datapoint,factValue
dp3529399,-7121362.2
dp3529404,15336205
dp3529405,277150313.38
dp3529406,-192989419.77
dp3529407,319880243.48
dp3529421,84160893.61
dp3529422,87359943.47
dp3529423,232520300.01
dp3529515,-89017027.47
dp3529519,-2412367747.1
dp3529520,1091999293.33
dp3529521,1052011170.12
dp3529523,3998503043.47
dp3529524,62697411.8
dp3529525,2744090274.04
dp3529526,657591231.38
dp3529532,-1941133706.57
dp3529533,-471234040.52
dp3529534,169457074.55
dp3529535,728376057.44
dp3529536,194166161.35
dp3529537,62697411.8
dp3529583,632268498.99
dp3529584,2274235251.15
dp3529590,2906503750.14
dp3529591,3464378917.22
dp3529592,191702562.48
dp3529658,186357190.85
dp3529659,802956567.47
dp3529686,-14436517.44
dp3529695,169457074.55
dp3529697,22245487.93
dp3529699,3002611308.59
dp3529717,-74580510.03
dp3529763,169457074.55
dp3529765,826434660.34
