datapoint,factValue
dp3529548,0
dp3529550,0
dp3529572,9243639878.22
dp3529573,2574208341.77
dp3529574,1233247868.84
dp3529575,261946680.02
dp3529576,0
dp3529577,116844475.11
dp3529578,0
dp3529639,0
dp3529719,772234784.39
dp3529720,5098145.39
dp3529721,0
dp3529722,405170886.15
dp3529723,4786379489.1
dp3529724,268753408.19
dp3529725,0
dp3529726,45679694.88
dp3529727,3507451925.38
dp3529730,0
dp3529753,50362195.06
dp3529756,2641473.03
dp3529778,4786379489.1
dp3529802,0
dp3529805,0
dp3529820,0
