datapoint,factValue
dp3525230,20742874662.08
dp3525235,20432901453.98
dp3525237,20917077109.58
dp3525246,3465464390.75
dp3525247,31456445.53
dp3525248,3746677.8
dp3525249,3686402772.82
dp3525253,2716287847.15
dp3525254,25499443.61
dp3525255,3468697770
dp3525259,20857323.29
dp3525260,22215175.72
dp3525261,84013931.51
dp3525262,67056019.75
dp3525263,101972378.42
dp3525264,3904719967.16
dp3525265,4171758217.67
dp3525266,7123174313.12
dp3525267,110549103.45
dp3525268,102246155.85
dp3525269,79858777.32
dp3525270,124187554.13
dp3525271,12205955357.38
dp3525272,11535094279.31
dp3525273,11459041563.86
dp3525274,12303280933.29
dp3525275,2134721098.21
dp3525276,2878812521.89
dp3525277,1961592150.94
dp3525278,1068099991.96
dp3525279,682911421.44
dp3525280,865563441.7
dp3525281,1091447416.43
dp3525282,3675419304.75
dp3525283,20470146912.46
dp3525295,7040075299.19
dp3525296,7042795913.24
dp3525297,7233135398.26
dp3525298,2521241183.71
dp3525299,11083693.56
dp3525300,30206445.53
dp3525301,3386737259.61
dp3525303,29556066.74
dp3525304,36861708.07
dp3525305,50504064.86
dp3525306,21300213.31
dp3525307,2727827738.87
dp3525308,2554096028.56
dp3525309,2612138124.01
dp3525310,21964746.62
dp3525311,29640250.83
dp3525312,30226235.79
dp3525313,3716059065.05
dp3525314,3532532544.35
dp3525315,3711449663.93
dp3525321,18232224.34
dp3525322,12802757.57
dp3525323,89691780.16
dp3525324,3729008544.75
dp3525325,3550682208.92
dp3525698,444303514.33
dp3525699,845418321.52
dp3525700,14202728835.7
dp3525701,9057360537.16
dp3525702,8725074195.9
dp3525703,1262564787.37
dp3525704,1159040042.43
dp3525705,883677599.58
dp3525706,1401724535.26
dp3525708,348456308.02
dp3525709,470465195.41
dp3525710,192793499.99
dp3525711,2860132709.44
dp3525712,2844771019.39
dp3525713,2745302208.93
dp3525714,1782493645.54
dp3525715,2426948385.39
dp3525716,5167698013.16
dp3525717,5277555367.46
dp3525721,8901370442.46
dp3525722,8893040071.79
dp3525723,16687032870.69
dp3525724,14916034179
dp3525725,15618879868.63
dp3525726,957421020.94
dp3525727,627622448.18
dp3525728,794395555.69
dp3525729,256055151.39
dp3525730,364644486.73
dp3525731,417146465.85
dp3525732,5083368272.65
dp3525733,5271180452.48
dp3525734,848348413.77
dp3525735,1277925910.49
dp3525736,2679733250.83
dp3525737,31456445.53
dp3525738,4704705519.1
dp3525739,30206445.53
dp3525740,4995932674.25
dp3525741,11083693.56
dp3525742,1068099991.96
dp3525743,25744340397.75
dp3525744,264164084.68
dp3525745,24491985672.22
dp3525746,23969662719.85
dp3525747,26503554483.02
dp3525748,682911421.44
dp3525749,865563441.7
dp3525750,1091447416.43
dp3525751,4665776372.22
dp3525752,3746677.8
dp3525753,5081015189.67
