datapoint,factValue,qEEA
dp3291781,0,eba_qAE:qx2076
dp3291781,0,eba_qAE:qx2074
dp3291781,1,eba_qAE:qx2012
dp3291781,13,eba_qAE:qx2014
dp3291782,4,eba_qAE:qx2076
dp3291782,4,eba_qAE:qx2074
dp3291782,2,eba_qAE:qx2020
dp3291782,109,eba_qAE:qx2018
dp3291782,47,eba_qAE:qx2014
dp3291782,268,eba_qAE:qx2012
dp3291783,120,eba_qAE:qx2012
dp3291783,1,eba_qAE:qx2076
dp3291783,1,eba_qAE:qx2074
dp3291783,2,eba_qAE:qx2018
dp3291783,35,eba_qAE:qx2014
dp3291784,29,eba_qAE:qx2014
dp3291784,1,eba_qAE:qx2076
dp3291784,0,eba_qAE:qx2074
dp3291784,1,eba_qAE:qx2018
dp3291784,264,eba_qAE:qx2012
dp3291785,2,eba_qAE:qx2076
dp3291785,15,eba_qAE:qx2014
dp3291785,18,eba_qAE:qx2012
dp3291785,0,eba_qAE:qx2074
dp3291786,5,eba_qAE:qx2012
dp3291786,1,eba_qAE:qx2076
dp3291786,0,eba_qAE:qx2074
dp3291786,15,eba_qAE:qx2014
dp3291787,0,eba_qAE:qx2076
dp3291787,0,eba_qAE:qx2074
dp3291787,1,eba_qAE:qx2012
dp3291788,1,eba_qAE:qx2076
dp3291788,0,eba_qAE:qx2074
dp3291788,2,eba_qAE:qx2020
dp3291788,25,eba_qAE:qx2014
dp3291788,1,eba_qAE:qx2012
dp3291789,13,eba_qAE:qx2014
dp3291789,1,eba_qAE:qx2012
dp3291789,0,eba_qAE:qx2076
dp3291789,0,eba_qAE:qx2074
dp3291790,0,eba_qAE:qx2074
dp3291790,0,eba_qAE:qx2012
dp3291790,5,eba_qAE:qx2014
dp3291790,0,eba_qAE:qx2076
dp3291791,0,eba_qAE:qx2074
dp3291791,1,eba_qAE:qx2076
dp3291791,15,eba_qAE:qx2014
dp3291791,6,eba_qAE:qx2012
dp3291799,82,eba_qAE:qx2014
dp3291799,388,eba_qAE:qx2012
dp3291799,5,eba_qAE:qx2076
dp3291799,5,eba_qAE:qx2074
dp3291799,2,eba_qAE:qx2020
dp3291799,111,eba_qAE:qx2018
dp3291800,1,eba_qAE:qx2018
dp3291800,34,eba_qAE:qx2014
dp3291800,92,eba_qAE:qx2012
dp3291800,1,eba_qAE:qx2076
dp3291800,0,eba_qAE:qx2074
dp3291801,0,eba_qAE:qx2074
dp3291801,0,eba_qAE:qx2012
dp3291801,12,eba_qAE:qx2014
dp3291801,1,eba_qAE:qx2076
dp3291801,2,eba_qAE:qx2020
dp3291802,0,eba_qAE:qx2074
dp3291802,4,eba_qAE:qx2018
dp3291802,11,eba_qAE:qx2014
dp3291802,81,eba_qAE:qx2012
dp3291802,0,eba_qAE:qx2076
dp3291803,4,eba_qAE:qx2018
dp3291803,2,eba_qAE:qx2014
dp3291803,0,eba_qAE:qx2076
dp3291803,0,eba_qAE:qx2074
dp3291803,81,eba_qAE:qx2012
dp3291804,4,eba_qAE:qx2014
dp3291804,0,eba_qAE:qx2012
dp3291804,0,eba_qAE:qx2076
dp3291804,0,eba_qAE:qx2074
dp3292452,0.4,eba_qAE:qx2014
dp3292453,0.4,eba_qAE:qx2074
dp3292453,0.01169,eba_qAE:qx2012
dp3292453,0.4,eba_qAE:qx2014
dp3292454,0.469992,eba_qAE:qx2014
dp3292454,0.015875,eba_qAE:qx2012
dp3292455,0.796944,eba_qAE:qx2014
dp3292455,0.4,eba_qAE:qx2012
dp3292455,0.4,eba_qAE:qx2020
dp3292456,0.4,eba_qAE:qx2014
dp3292456,0.4,eba_qAE:qx2012
dp3292457,0.4,eba_qAE:qx2020
dp3292457,0.903624,eba_qAE:qx2014
dp3292458,0.45231,eba_qAE:qx2014
dp3292459,0.84048,eba_qAE:qx2014
dp3292460,0.450372,eba_qAE:qx2014
dp3292461,0,eba_qAE:qx2014
dp3292461,0.026809,eba_qAE:qx2012
dp3292462,0.4,eba_qAE:qx2074
dp3292462,0.4,eba_qAE:qx2014
dp3292463,0,eba_qAE:qx2014
dp3292464,0.41856,eba_qAE:qx2014
dp3292464,0.004954,eba_qAE:qx2012
dp3292465,0.626732,eba_qAE:qx2014
dp3292466,0.450372,eba_qAE:qx2014
dp3292468,0.683684,eba_qAE:qx2014
dp3292550,9021767.75,eba_qAE:qx2012
dp3292550,2855085.07,eba_qAE:qx2018
dp3292550,4906736.59,eba_qAE:qx2014
dp3292551,13727290.85,eba_qAE:qx2014
dp3292552,10124312.1,eba_qAE:qx2014
dp3292553,17198869.03,eba_qAE:qx2014
dp3292553,11547.38,eba_qAE:qx2012
dp3292554,115553.27,eba_qAE:qx2012
dp3292555,4624.04,eba_qAE:qx2076
dp3292555,1371215.03,eba_qAE:qx2014
dp3292555,727158.38,eba_qAE:qx2012
dp3292556,9812.64,eba_qAE:qx2076
dp3292556,10686.84,eba_qAE:qx2018
dp3292556,1418535.8,eba_qAE:qx2014
dp3292556,1490760.92,eba_qAE:qx2012
dp3292557,882.55,eba_qAE:qx2018
dp3292557,741305.8,eba_qAE:qx2014
dp3292557,1085318.9,eba_qAE:qx2012
dp3292558,9393.38,eba_qAE:qx2076
dp3292558,75.48,eba_qAE:qx2074
dp3292558,4822.61,eba_qAE:qx2018
dp3292558,536546.03,eba_qAE:qx2014
dp3292558,1087352.61,eba_qAE:qx2012
dp3292559,5262.77,eba_qAE:qx2020
dp3292559,707279.04,eba_qAE:qx2018
dp3292559,316087.94,eba_qAE:qx2014
dp3292559,1641474.42,eba_qAE:qx2012
dp3292559,44875.55,eba_qAE:qx2076
dp3292559,47914.48,eba_qAE:qx2074
dp3292560,288512011.88,eba_qAE:qx2014
dp3292560,36282449.32,eba_qAE:qx2012
dp3292579,2728827.03,eba_qAE:qx2012
dp3292579,54268.94,eba_qAE:qx2076
dp3292579,47989.96,eba_qAE:qx2074
dp3292579,5262.77,eba_qAE:qx2020
dp3292579,712101.66,eba_qAE:qx2018
dp3292579,852633.97,eba_qAE:qx2014
dp3292580,415681.28,eba_qAE:qx2012
dp3292580,2671304.22,eba_qAE:qx2014
dp3292581,7074556.92,eba_qAE:qx2014
dp3292581,11547.38,eba_qAE:qx2012
dp3292582,2855085.07,eba_qAE:qx2018
dp3292582,44403572.83,eba_qAE:qx2014
dp3292582,9021767.75,eba_qAE:qx2012
dp3292583,25769545.39,eba_qAE:qx2014
dp3292584,2671304.22,eba_qAE:qx2014
dp3292584,531234.55,eba_qAE:qx2012
dp3292861,380462504.46,eba_qAE:qx2014
dp3292862,128660282.36,eba_qAE:qx2012
dp3292862,69735098.82,eba_qAE:qx2018
dp3292862,613179915.47,eba_qAE:qx2014
dp3292863,910570.25,eba_qAE:qx2012
dp3292863,696133264.67,eba_qAE:qx2014
dp3292864,99835216.46,eba_qAE:qx2012
dp3292864,785838337.04,eba_qAE:qx2014
dp3292865,1245912644.14,eba_qAE:qx2014
dp3292865,6234011687.43,eba_qAE:qx2012
dp3292865,217979420.27,eba_qAE:qx2076
dp3292865,207409074.34,eba_qAE:qx2074
dp3292865,60866467.36,eba_qAE:qx2020
dp3292865,5589506741.71,eba_qAE:qx2018
dp3292866,947105752.02,eba_qAE:qx2014
dp3292866,90706123.31,eba_qAE:qx2012
dp3292875,24062011.9,eba_qAE:qx2014
dp3292875,209983.71,eba_qAE:qx2012
dp3292876,43158623.88,eba_qAE:qx2076
dp3292876,775001484.66,eba_qAE:qx2014
dp3292876,157867964.66,eba_qAE:qx2012
dp3292877,16926101.6,eba_qAE:qx2014
dp3292878,126619235.58,eba_qAE:qx2014
dp3292879,0,eba_qAE:qx2014
dp3292879,115401612.84,eba_qAE:qx2012
dp3292880,375274330.59,eba_qAE:qx2014
dp3292881,28396494.61,eba_qAE:qx2014
dp3292881,115401612.84,eba_qAE:qx2012
dp3292882,26393416.78,eba_qAE:qx2014
dp3292882,2919323.98,eba_qAE:qx2020
dp3292883,7093322.13,eba_qAE:qx2014
dp3292883,6325702.51,eba_qAE:qx2012
dp3292884,2919323.98,eba_qAE:qx2020
dp3292884,33486738.91,eba_qAE:qx2014
dp3292884,6325702.51,eba_qAE:qx2012
dp3292886,14075753.73,eba_qAE:qx2012
dp3292887,43158623.88,eba_qAE:qx2076
dp3292887,775001484.66,eba_qAE:qx2014
dp3292887,143792210.93,eba_qAE:qx2012
dp3292888,50641410.57,eba_qAE:qx2076
dp3292888,810874988,eba_qAE:qx2014
dp3292888,337426012.47,eba_qAE:qx2012
dp3292889,2709379.74,eba_qAE:qx2074
dp3292889,22156223.01,eba_qAE:qx2014
dp3292889,111006195.46,eba_qAE:qx2012
dp3292890,1531473289.1,eba_qAE:qx2014
dp3292890,2172958973.57,eba_qAE:qx2012
dp3292890,33181411.95,eba_qAE:qx2018
dp3292890,24012624.12,eba_qAE:qx2074
dp3292890,19271957.7,eba_qAE:qx2076
dp3292891,221684684.43,eba_qAE:qx2074
dp3292891,217979420.27,eba_qAE:qx2076
dp3292891,46590857.27,eba_qAE:qx2020
dp3292891,5663842748.47,eba_qAE:qx2018
dp3292891,1245912644.14,eba_qAE:qx2014
dp3292891,6231710810.07,eba_qAE:qx2012
dp3292892,3665257.83,eba_qAE:qx2014
dp3293057,0,eba_qAE:qx2014
dp3293057,85825420.72,eba_qAE:qx2012
dp3293058,12172535.17,eba_qAE:qx2076
dp3293058,1047173.63,eba_qAE:qx2018
dp3293058,1309312628.35,eba_qAE:qx2014
dp3293058,1471093996.14,eba_qAE:qx2012
dp3293059,98052642.5,eba_qAE:qx2014
dp3293059,322964516.45,eba_qAE:qx2012
dp3293060,5389226.14,eba_qAE:qx2076
dp3293060,21913589.39,eba_qAE:qx2018
dp3293060,1543189289.68,eba_qAE:qx2014
dp3293060,1203352305.63,eba_qAE:qx2012
dp3293061,58304331.42,eba_qAE:qx2014
