datapoint,factValue
dp3524780,14092833.55
dp3524781,12882636.74
dp3524782,7389939706.21
dp3524783,7384360930.17
dp3524784,0
dp3524785,0
dp3524786,0
dp3524787,0
dp3524788,1025670550.35
dp3524789,801992882.91
dp3524790,0
dp3524791,237421380.49
dp3524792,77519751.55
dp3524793,70688457.48
dp3524794,7029180903.55
dp3524795,7384360930.17
dp3524796,0
dp3524797,0
dp3524798,0
dp3524799,0
dp3524800,731304425.43
dp3524801,3167118379.21
dp3524802,1195588099.25
dp3524803,9815876392.24
dp3524804,9529472844.18
dp3524805,727771006.88
dp3524806,10075221767.94
dp3524807,9815876392.24
dp3524808,432473387.25
dp3524809,470906938.93
dp3524810,0
dp3524811,0
dp3524812,39240851718.69
dp3524813,2897754350.62
dp3524814,16779527955.04
dp3524815,1447762713.59
dp3524816,0
dp3524817,0
dp3524818,24485614883.93
dp3524819,22308887098.7
dp3524820,22497718525.45
dp3524821,3608840723.42
dp3524822,17231223499.16
dp3524829,3527727161.35
dp3524830,12113041.84
dp3524831,7364231645.69
dp3524832,0
dp3524833,711185256.05
dp3524834,43635426545.61
dp3524835,17477683271.03
dp3524836,3102131143.15
dp3524837,0
dp3524838,0
dp3524858,3823192492.88
dp3524859,15421468.18
dp3524860,14092833.55
dp3524861,3242748364.69
dp3524862,3696082020.21
dp3524863,0
dp3524864,1964522.08
dp3524865,15421468.18
dp3524902,0
dp3524903,7364231645.69
dp3524904,0
dp3524905,3102131143.15
dp3524906,25109377875.36
dp3524907,17477683271.03
dp3524908,18526048670.25
dp3524909,16779527955.04
dp3524910,16848531738.76
dp3524911,15482726531.49
dp3524912,16931964619.99
dp3524913,17943844149.96
dp3524914,0
dp3524915,0
dp3524916,0
dp3524952,0
dp3524953,0
dp3524954,0
dp3524958,3242748364.69
dp3524959,3696082020.21
dp3524960,0
dp3524961,1964522.08
dp3524962,8845363.69
dp3524963,12882636.74
dp3524964,3823192492.88
dp3524965,8845363.69
dp3524966,7029180903.55
dp3524967,0
dp3524968,0
dp3524969,823777198.73
dp3524970,0
dp3524971,0
dp3524972,0
dp3524973,0
dp3524974,0
dp3524975,7389939706.21
dp3524976,0
dp3524977,0
dp3524978,788249169.86
dp3524979,746257447.18
dp3524980,4635489802.43
dp3524981,2282995879.1
dp3524982,727771006.88
dp3524983,1189962696.51
dp3524984,10075221767.94
dp3524985,4203016415.18
dp3524986,1831320718.33
dp3524987,2696211440.28
dp3524990,1189962696.51
dp3524991,1195588099.25
dp3524992,9529472844.18
dp3524993,451675160.78
dp3524994,0
dp3524995,0
dp3524996,0
dp3524997,0
dp3524998,39968341415.42
dp3524999,40441562675.42
dp3525000,3914954956.11
dp3525001,3608840723.42
dp3525002,17231223499.16
dp3525003,16848531738.76
dp3525004,1554235781.91
dp3525005,1742093614.99
dp3525006,0
dp3525007,0
dp3525008,0
dp3525056,0
dp3525057,2897754350.62
dp3525058,3914954956.11
dp3525364,8971922074.98
dp3525365,7741363265.75
dp3525366,0
dp3525367,0
dp3525368,30188060691.67
dp3525369,429091402.74
dp3525370,12535031465.6
dp3525371,13479454021.74
dp3525372,8115665355.6
dp3525373,7817430073.4
dp3525374,70688457.48
dp3525375,237421380.49
dp3525376,8186353813.08
dp3525377,17305318.58
dp3525378,17305318.58
dp3525379,15075094.59
dp3525404,22217942354.19
dp3525405,31480966689.32
dp3525406,8075416901.74
dp3525411,15421468.18
dp3525412,15421468.18
dp3525413,15075094.59
dp3525414,8054851453.9
dp3525415,8213716904.94
dp3525416,77519751.55
dp3525417,8136197153.39
dp3525418,14923780165.68
dp3525419,12964122868.34
dp3525420,14512930447.79
dp3525421,13032092429.76
dp3525422,410849717.89
dp3525423,447361591.98
dp3525424,29717672242.23
dp3525425,29709131146.45
dp3525426,0
dp3525427,22446697425.92
dp3525428,21251689932.23
dp3525429,20737209071.46
dp3525430,8465982309.99
dp3525436,9263024335.13
dp455727,0
dp455729,0
dp455730,497929019.46
dp455735,9848539775.6
dp455737,751515228.06
dp455738,2909100267.3
dp455741,9848539775.6
dp455742,751515228.06
dp455743,3407029286.76
dp455798,0
dp455799,0
dp455800,1503525330.42
dp455829,69350628.15
dp455830,0
dp455831,0
dp455834,780535884.2
dp455835,0
dp455836,0
dp455850,12113041.84
dp455851,0
dp455852,3527727161.35
dp458851,53253973550.96
dp458900,473032568.49
dp458903,13143093721.42
dp458905,13616126289.91
dp458923,0
dp458934,69350628.15
dp458936,8144767529.89
dp458940,12113041.84
dp469246,12113041.84
dp475573,51392244299.85
dp475574,50910587110.09
dp475575,53182113779.42
