datapoint,factValue
dp3526960,2318.1
dp3526961,185.45
dp3527888,1989.97
dp3527889,2159.9
dp3527904,39.27
dp3527905,344.74
dp3527906,384.01
dp3527907,384.01
dp3527938,93.11
dp3527939,46.29
dp3527940,46.82
dp3527941,542.83
dp3527942,2948.84
dp3527943,93.11
dp3527944,1163.83
dp3527968,892.24
dp3527969,1107.56
dp3527970,898.89
dp3527971,208.67
dp3527972,1107.56
dp3527985,340.28
dp3528034,41.48
dp3528036,518.51
dp3528038,2272.74
dp3528152,185.45
dp3528153,1107.56
dp3528162,340.28
dp3528163,348.54
dp3528164,8.26
dp3528165,348.54
dp3528166,348.54
dp3528176,1.8
dp3528178,36.5
dp3528179,56.39
dp3528180,56.39
dp3528190,1903.16
dp3528224,1163.83
dp3528225,578.59
dp3528226,585.24
dp3528227,2948.84
dp3528228,2406.02
dp3528229,93.11
dp3528230,1163.83
dp3528231,2948.84
dp3528247,898.89
dp3528258,892.24
dp3528259,892.24
dp3528260,185.45
dp3528261,11153.05
dp3528262,1107.56
dp3528263,898.89
dp3528264,208.67
dp3528265,1107.56
dp3528266,2608.37
dp3528267,1107.56
dp3528268,13844.5
dp3528272,208.67
dp3528273,13844.5
dp3528274,11236.14
dp3528275,1107.56
dp3528276,1107.56
dp3528277,13844.5
dp3528278,1107.56
dp3528337,384.01
dp3528338,27.51
dp3528345,2159.9
dp3528346,169.93
dp3528347,2159.9
dp3528358,19.89
dp3528359,56.39
