datapoint,factValue
dp3295620,35780.38
dp3295621,406639105.55
dp3295823,7321863342.39
dp3295932,2042375958.29
dp3529397,32531128.44
dp3529408,319880243.48
dp3529409,163390076.66
dp3529424,1200.67
dp3529425,1107.56
dp3530253,353888965.39
dp3530254,16681.05
dp3530256,15008.34
dp3530257,3998503043.47
dp3530259,3464378917.22
dp3530261,145294754.46
dp3530263,1163.83
dp3530264,13844.5
dp3530265,14960.14
dp3530266,570569706.4
dp3530269,2299361892.15
dp3530270,13503533949.44
dp3530271,4259894071.23
dp3530272,9243639878.22
dp3530275,406639105.55
dp3530276,353888965.39
dp3530277,6040879001.77
dp3530280,981049046.41
dp3530282,566047505.47
dp3530283,1692391306.34
dp3530284,28965357494.2
dp3530285,571201193.07
dp472886,340791525.7
dp472887,4309391678.2
dp472891,1080282715.96
dp472892,13743587308.82
dp472897,585749067.39
dp472898,7321863342.39
dp472900,483270320.14
dp472901,5763740809.36
dp474579,739491190.26
dp474693,9434195630.62
dp475194,45696095.45
dp475203,93.11
dp475204,1720.91
dp475423,2862.43
dp475424,135391304.51
dp475425,78483923.71
dp475427,45283800.44
dp475428,11623580.36
dp475430,32531128.44
dp475431,2317228599.54
dp475433,1088.38
dp475434,1631992490.77
dp475437,836809401.8
dp475441,647096426.75
dp475443,148086662.22
dp475449,28815090686.18
