land,refPeriod,n_traeger,auslandsexposure_eur,hhi,groesster_traeger,groesster_anteil,top3_anteil,urteil,tauschverdacht
Réunion,2025-12-31,16,1047377145.45,0.4963,Promontoria 19 Coöperatie U.A.,0.5597,0.9944,konzentriert,nein
Saint Barthélemy,2025-12-31,3,12002793.11,0.9989,LGT Group Foundation,0.9995,1.0000,konzentriert,nein
"Saint Helena, Ascension and Tristan da Cunha",2025-12-31,1,4.03,1.0000,"Česká spořitelna, a.s.",1.0000,1.0000,zu_duenn,nein
Saint Kitts and Nevis,2025-12-31,13,7033757.11,0.6662,J.P. Morgan SE,0.8022,0.9931,konzentriert,nein
Saint Lucia,2025-12-31,4,57596448.33,1.0000,"CaixaBank, S.A.",1.0000,1.0000,konzentriert,nein
Saint Martin (French part),2025-12-31,8,1554305.71,0.4879,BNP Paribas,0.6524,0.9918,konzentriert,nein
Saint Vincent and the Grenadines,2025-12-31,3,17946616.97,0.9991,LGT Group Foundation,0.9995,1.0000,konzentriert,nein
Samoa,2025-12-31,3,96043049.42,0.9919,LGT Group Foundation,0.9959,1.0000,konzentriert,nein
San Marino,2025-12-31,15,72370432.85,0.3886,Intesa Sanpaolo S.p.A.,0.5536,0.8877,konzentriert,nein
Sao Tome and Principe,2025-12-31,5,1359572.06,0.6940,"Banco Comercial Português, SA",0.8172,0.9959,konzentriert,nein
Saudi Arabia,2025-12-31,54,8114743233.78,0.1652,ING Groep N.V.,0.2466,0.6171,gestreut,nein
Senegal,2025-12-31,29,287205824.63,0.2908,ING Groep N.V.,0.4446,0.8445,gestreut,nein
Serbia,2025-12-31,54,15600598380.74,0.3118,Intesa Sanpaolo S.p.A.,0.3840,0.9561,gestreut,nein
Seychelles,2025-12-31,19,53683163.24,0.6207,LGT Group Foundation,0.7593,0.9869,konzentriert,nein
Sierra Leone,2025-12-31,8,94498.59,0.6469,Nordea Bank Abp,0.7790,0.9902,konzentriert,nein
Singapore,2025-12-31,67,46411353545.42,0.1778,ING Groep N.V.,0.3463,0.6238,gestreut,nein
Sint Maarten (Dutch part),2025-12-31,8,6389649.83,0.5145,Coöperatieve Rabobank U.A.,0.6138,0.9991,konzentriert,nein
Slovakia,2025-12-31,101,108211134901.78,0.2320,Intesa Sanpaolo S.p.A.,0.3358,0.7849,gestreut,nein
Slovenia,2025-12-31,79,32709131508.94,0.5573,OTP-csoport,0.7250,0.9645,konzentriert,nein
Solomon Islands,2025-12-31,2,2733.40,0.9681,ING Groep N.V.,0.9838,1.0000,zu_duenn,nein
Somalia,2025-12-31,12,3708404.71,0.9786,Natixis,0.9892,0.9980,konzentriert,nein
South Africa,2025-12-31,60,2000870130.29,0.2335,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.3403,0.7218,gestreut,nein
South Georgia and the South Sandwich Islands,2025-12-31,3,2411.13,0.3760,"Česká spořitelna, a.s.",0.4347,1.0000,gestreut,nein
South Sudan,2025-12-31,4,861577.20,0.9841,Nordea Bank Abp,0.9920,1.0000,konzentriert,nein
Spain,2025-12-31,126,256097339011.31,0.1475,ING Groep N.V.,0.2982,0.5783,gestreut,nein
Sri Lanka,2025-12-31,30,458224854.76,0.3636,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.4725,0.9835,gestreut,nein
Sudan,2025-12-31,11,617410.55,0.9022,Nordea Bank Abp,0.9492,0.9955,konzentriert,nein
Suriname,2025-12-31,9,159984154.68,0.9887,ING Groep N.V.,0.9943,0.9999,konzentriert,nein
Svalbard and Jan Mayen,2025-12-31,3,7659.46,0.6497,ING Groep N.V.,0.7845,1.0000,konzentriert,nein
Sweden,2025-12-31,136,260576259674.60,0.2542,Nordea Bank Abp,0.4484,0.7185,gestreut,nein
Switzerland,2025-12-31,110,131781157707.93,0.1379,ING Groep N.V.,0.3296,0.4986,gestreut,nein
Syrian Arab Republic,2025-12-31,17,997657.13,0.2174,"UNICREDIT, SOCIETA' PER AZIONI",0.2870,0.7849,gestreut,nein
"Taiwan, Province of China",2025-12-31,46,7792694282.77,0.5316,ING Groep N.V.,0.7053,0.9134,konzentriert,nein
Tajikistan,2025-12-31,18,264517.19,0.3342,Bayerische Landesbank,0.5346,0.8189,konzentriert,nein
"Tanzania, United Republic of",2025-12-31,28,159113594.40,0.4069,Coöperatieve Rabobank U.A.,0.5711,0.9338,konzentriert,nein
Thailand,2025-12-31,55,8470894005.94,0.3188,"Banco Bilbao Vizcaya Argentaria, S.A.",0.4434,0.8824,gestreut,nein
Timor-Leste,2025-12-31,3,770293.16,0.5567,ING Groep N.V.,0.6684,1.0000,konzentriert,nein
Togo,2025-12-31,18,18304782.09,0.8591,Natixis,0.9259,0.9794,konzentriert,nein
Tonga,2025-12-31,1,71.96,1.0000,"UNICREDIT, SOCIETA' PER AZIONI",1.0000,1.0000,zu_duenn,nein
Trinidad and Tobago,2025-12-31,15,1394243.11,0.5458,"Banco Santander, S.A.",0.7172,0.9485,konzentriert,nein
Tunisia,2025-12-31,39,97309321.18,0.2965,"UNICREDIT, SOCIETA' PER AZIONI",0.5016,0.7569,konzentriert,nein
Turkmenistan,2025-12-31,11,263819.52,0.7762,Société générale S.A.,0.8783,0.9694,konzentriert,nein
Turks and Caicos Islands,2025-12-31,6,4505969.64,0.7744,J.P. Morgan SE,0.8709,0.9992,konzentriert,nein
Türkiye,2025-12-31,77,78232330574.85,0.6106,"Banco Bilbao Vizcaya Argentaria, S.A.",0.7682,0.9257,konzentriert,nein
Uganda,2025-12-31,25,3973377.60,0.2319,Nordea Bank Abp,0.4157,0.6871,gestreut,nein
Ukraine,2025-12-31,53,3360117784.38,0.5019,Raiffeisen Bank International AG,0.6879,0.9200,konzentriert,nein
United Arab Emirates,2025-12-31,84,17498107169.14,0.1402,ING Groep N.V.,0.2451,0.5965,gestreut,nein
United Kingdom,2025-12-31,146,930073619084.81,0.1167,"Banco Santander, S.A.",0.2919,0.4759,gestreut,nein
United States,2025-12-31,120,855452414847.38,0.1729,ING Groep N.V.,0.3019,0.6629,gestreut,nein
United States Minor Outlying Islands,2025-12-31,4,385429.99,0.6055,Coöperatieve Rabobank U.A.,0.7343,0.9979,konzentriert,nein
Uruguay,2025-12-31,37,8898213296.75,0.4235,"Banco Santander, S.A.",0.5447,0.9369,konzentriert,nein
Uzbekistan,2025-12-31,33,1617086310.79,0.2493,KfW Beteiligungsholding GmbH,0.4181,0.7294,gestreut,nein
Vanuatu,2025-12-31,5,78504.42,0.9348,ING Groep N.V.,0.9664,0.9998,konzentriert,nein
"Venezuela, Bolivarian Republic of",2025-12-31,33,455960032.04,0.7685,"Banco Bilbao Vizcaya Argentaria, S.A.",0.8729,0.9716,konzentriert,nein
Viet Nam,2025-12-31,39,1682672192.55,0.2290,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.3558,0.7783,gestreut,nein
"Virgin Islands, British",2025-12-31,38,18066457367.96,0.2802,ING Groep N.V.,0.4130,0.7952,gestreut,nein
"Virgin Islands, U.S.",2025-12-31,1,0.01,1.0000,Nordea Bank Abp,1.0000,1.0000,zu_duenn,nein
Wallis and Futuna,2025-12-31,1,70280.00,1.0000,Bpifrance,1.0000,1.0000,zu_duenn,nein
Yemen,2025-12-31,11,255591.48,0.5249,Nordea Bank Abp,0.6412,0.9880,konzentriert,nein
Zambia,2025-12-31,22,36750016.35,0.5004,ING Groep N.V.,0.6811,0.8988,konzentriert,nein
Zimbabwe,2025-12-31,25,7588840.10,0.2007,J.P. Morgan SE,0.2980,0.6935,gestreut,nein
Åland Islands,2025-12-31,4,1323343.55,0.9921,Svenska Handelsbanken - gruppen,0.9961,1.0000,konzentriert,nein
Denmark,2026-03-31,1,11288855.28,1.0000,KOMMUNALBANKEN AS,1.0000,1.0000,zu_duenn,nein
Finland,2026-03-31,1,24559169.31,1.0000,KOMMUNALBANKEN AS,1.0000,1.0000,zu_duenn,nein
France,2026-03-31,1,30730093.13,1.0000,KOMMUNALBANKEN AS,1.0000,1.0000,zu_duenn,nein
Germany,2026-03-31,1,54070911.72,1.0000,KOMMUNALBANKEN AS,1.0000,1.0000,zu_duenn,nein
Netherlands,2026-03-31,1,3583528.55,1.0000,KOMMUNALBANKEN AS,1.0000,1.0000,zu_duenn,nein
Sweden,2026-03-31,1,4760064.39,1.0000,KOMMUNALBANKEN AS,1.0000,1.0000,zu_duenn,nein
