lei,name,land,ezb_kopf_lei,ezb_kopf_name,gleif_kopf_lei,gleif_kopf_name,ezb_kopf_ist_selbst,gleif_kopf_in_ezb_liste,urteil
KX1WK48MPD4Y2NCUIZ63,Natixis S.A.,France,9695005MSX1OYEMGDF46,BPCE S.A.,9695005MSX1OYEMGDF46,BPCE S.A.,nein,ja,identisch
MMYX0N4ZEZ13Z4XCG897,The Bank of New York Mellon SA/NV,Belgium,MMYX0N4ZEZ13Z4XCG897,The Bank of New York Mellon SA/NV,WFLLPEPC7FZXENRZV188,,ja,nein,ssm_schnitt
N1FBEDJ5J41VKZLO2475,Citibank Europe plc,Ireland,N1FBEDJ5J41VKZLO2475,Citibank Europe plc,6SHGI4ZSSLCXXQSBB395,,ja,nein,ssm_schnitt
N4JDFKKH2FTD8RKFXO39,Crédit Industriel et Commercial - Cic,France,9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,nein,ja,identisch
NICH5Q04ADUV9SN3Q390,BRED - Banque Populaire,France,9695005MSX1OYEMGDF46,BPCE S.A.,9695005MSX1OYEMGDF46,BPCE S.A.,nein,ja,identisch
PRNXTNXHBI0TSY1V8P17,Zagrebačka banka d.d.,Croatia,549300TRUWO2CD2G5692,UniCredit S.p.A.,549300TRUWO2CD2G5692,UniCredit S.p.A.,nein,ja,identisch
PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario S.p.A.,Italy,J4CP7MHCXR8DAQMKIL78,BANCA MONTE DEI PASCHI DI SIENA S.p.A.,J4CP7MHCXR8DAQMKIL78,BANCA MONTE DEI PASCHI DI SIENA S.p.A.,nein,ja,identisch
RG3IZJKPYQ4H6IQPIC08,Addiko Bank d.d.,Croatia,529900UKZBMDBDZIXD62,Addiko Bank AG,529900UKZBMDBDZIXD62,Addiko Bank AG,nein,ja,identisch
TPS0Q8GFSZF45ZZFL873,Société Générale Luxembourg,Luxembourg,O2RNE8IBXP4R0TD8PU41,Société Générale S.A.,O2RNE8IBXP4R0TD8PU41,Société Générale S.A.,nein,ja,identisch
UAIAINAJ28P30E5GWE37,BGL BNP Paribas,Luxembourg,R0MUWSFPU8MPRO8K5P83,BNP Paribas S.A.,R0MUWSFPU8MPRO8K5P83,BNP Paribas S.A.,nein,ja,identisch
UI802FYJ52XDB7N4KN18,Banca Nazionale del Lavoro S.p.A.,Italy,R0MUWSFPU8MPRO8K5P83,BNP Paribas S.A.,R0MUWSFPU8MPRO8K5P83,BNP Paribas S.A.,nein,ja,identisch
