lei,bank_name,country,scope,refPeriod,rahmenwerk,submission_ts,im_xbrl_bestand,paket_mb,n_pdf,n_seiten,n_zeichen,zeichen_je_seite,textebene,sprache,sprach_abstand,sprach_woerter,sprach_urteil,n_offengelegt,n_ausgelassen,quote_gegen_erwartung,trea_eur,groessenklasse,zeichen_je_template,fehler
315700E9POA724IWFP59,J&amp;T FINANCE GROUP SE,CZ,CON,2025-12-31,P3REMDISDOCS,20260622092725000,true,0.255,1,8,17801,2225.1,ja,cs,36.65,2128,landessprache,91,0,0.0,10500000000.0,mittel,196,
315700E9POA724IWFP59,J&amp;T FINANCE GROUP SE,CZ,CON,2026-03-31,P3REMDISDOCS,20260622092725000,true,1.824,2,107,223793,2091.5,ja,cs,32.69,2264,landessprache,9,45,0.0,9595000000.0,mittel,24866,
39120001JPAYYPDRNN92,Deutsche Bausparkasse Badenia Aktiengesellschaft,DE,IND,2025-12-31,P3NONREMDISDOCS,20260506084509217,true,0.285,1,40,94295,2357.4,ja,de,189.3,2224,landessprache,30,46,0.0,1265000000.0,klein,3143,
39120001JPAYYPDRNN92,Deutsche Bausparkasse Badenia Aktiengesellschaft,DE,IND,2025-12-31,P3REMDISDOCS,20260506084709117,true,0.071,1,12,24857,2071.4,ja,de,212.19,2347,landessprache,30,46,0.0,1265000000.0,klein,829,
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,CON,2025-12-31,P3NONREMDISDOCS,20260630164101958,true,3.155,1,226,513825,2273.6,ja,de,133.85,1158,landessprache,48,38,0.0789,15510000000.0,mittel,10705,
391200MQTYA14WRXOV43,Raiffeisenbank Plankstetten AG,DE,IND,2025-12-31,P3NONREMDISDOCS,20260625151511000,false,0.581,1,24,51462,2144.2,ja,de,186.89,2135,landessprache,,,,,unbekannt,,
3DM5DPGI3W6OU6GJ4N92,BANCO BPI S.A.,PT,CON,2025-12-31,P3NONREMDISDOCS,20260629112427270,true,2.778,1,258,685432,2656.7,ja,pt,117.7,1147,landessprache,59,40,0.0,20590000000.0,mittel,11617,
3DM5DPGI3W6OU6GJ4N92,BANCO BPI S.A.,PT,CON,2025-12-31,P3REMDISDOCS,20260629022254629,true,0.662,1,33,76654,2322.8,ja,pt,187.2,2922,landessprache,59,40,0.0,20590000000.0,mittel,1299,
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,CON,2025-06-30,P3NONREMDISDOCS,20260209180000000,true,0.91,1,18,52144,2896.9,ja,hu,75.52,2198,landessprache,42,52,0.0,13010000000.0,mittel,1242,
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,CON,2025-06-30,P3NONREMDISDOCS,20260326180000000,true,0.908,1,18,52374,2909.7,ja,hu,74.92,2189,landessprache,42,52,0.0,13010000000.0,mittel,1247,
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,CON,2025-09-30,P3NONREMDISDOCS,20260106145525000,true,0.737,1,5,8096,1619.2,ja,hu,68.0,853,landessprache,4,51,0.0,13120000000.0,mittel,2024,
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,CON,2025-12-31,P3NONREMDISDOCS,20260430183000000,true,3.713,1,133,460938,3465.7,ja,hu,86.46,1573,landessprache,60,39,0.0227,14020000000.0,mittel,7682,
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,CON,2025-12-31,P3REMDISDOCS,20260430183000000,true,0.852,1,11,34229,3111.7,ja,hu,88.61,2212,landessprache,60,39,0.0227,14020000000.0,mittel,570,
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,CON,2025-12-31,P3REMDISDOCS,20260609085039516,true,0.563,1,14,45463,3247.4,ja,hu,88.88,2194,landessprache,60,39,0.0227,14020000000.0,mittel,758,
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,CON,2026-03-31,P3NONREMDISDOCS,20260616134054261,true,0.755,1,7,17243,2463.3,ja,hu,46.2,1515,landessprache,4,50,0.0,14780000000.0,mittel,4311,
3M5E1GQGKL17HI6CPN30,Jyske Bank A/S,DK,CON,2026-03-31,P3NONREMDISDOCS,20260505133845925,true,0.712,1,19,43000,2263.2,ja,en,175.0,2440,englisch,7,55,0.0,33930000000.0,gross,6143,
3TK20IVIUJ8J3ZU0QE75,ING Bank N.V.,NL,CON,2025-12-31,P3NONREMDISDOCS,20260423173816016,true,3.295,1,127,361791,2848.7,ja,en,209.72,2756,englisch,57,37,0.2381,340200000000.0,gross,6347,
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,LT,CON,2025-12-31,P3NONREMDISDOCS,20260424014747999,true,74.988,1,83,172146,2074.0,ja,en,160.39,2388,englisch,57,44,0.05,6070000000.0,mittel,3020,
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,LT,CON,2025-12-31,P3REMDISDOCS,20260424014747999,true,12.712,1,10,11815,1181.5,ja,en,173.18,1357,englisch,57,44,0.05,6070000000.0,mittel,207,
5299000F1CGJQ8NAXQ58,MERKANTI BANK LTD,MT,IND,2025-12-31,P3NONREMDISDOCS,20260511162030530,true,0.941,1,46,148546,3229.3,ja,en,205.01,2712,landessprache,10,66,0.0,18130000.0,klein,14855,
5299000F1CGJQ8NAXQ58,MERKANTI BANK LTD,MT,IND,2025-12-31,P3REMDISDOCS,20260511162030530,true,0.941,1,46,148546,3229.3,ja,en,205.01,2712,landessprache,10,66,0.0,18130000.0,klein,14855,
5299000PCY1EP8QJFV48,United Bulgarian Bank AD,BG,CON,2025-12-31,P3NONREMDISDOCS,20260625145201022,true,2.309,1,107,194981,1822.3,ja,en,266.89,2057,englisch,16,2,0.0,,unbekannt,12186,
5299000PCY1EP8QJFV48,United Bulgarian Bank AD,BG,CON,2025-12-31,P3REMDISDOCS,20260625145201023,true,0.527,1,8,12265,1533.1,ja,en,249.07,1610,englisch,16,2,0.0,,unbekannt,767,
5299000R7WZOVIFHLN21,BFS SozialFinanz AG,DE,CON,2025-12-31,P3NONREMDISDOCS,20260512110712123,true,0.553,1,57,163528,2868.9,ja,de,227.01,2066,landessprache,11,65,0.0,5268000000.0,mittel,14866,
