lei,scope,refPeriod,bank_name,country,institution_type,szenario,szenario_label,delta_eve_eur,delta_nii_eur,tier1_eur,quote_eve,quote_nii,sot_eve,sot_nii,vorbehalt
1FOLRR5RWTWWI397R131,IND,2025-12-31,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,0050,kurze Zinsen hoch,-20105585,,2136845431,-0.0094,,nein,,
1FOLRR5RWTWWI397R131,IND,2025-12-31,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,0060,kurze Zinsen runter,17724077,,2136845431,0.0083,,nein,,
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,0010,Parallelverschiebung hoch,-217527757,-253481462,1518071886,-0.1433,-0.1670,nein,ja,
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,0020,Parallelverschiebung runter,123306359,-223429504,1518071886,0.0812,-0.1472,nein,ja,
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,0030,Steepener,16768924,,1518071886,0.0110,,nein,,
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,0040,Flattener,-97468324,,1518071886,-0.0642,,nein,,
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,0050,kurze Zinsen hoch,-177360875,,1518071886,-0.1168,,nein,,
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,0060,kurze Zinsen runter,91343923,,1518071886,0.0602,,nein,,
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,0010,Parallelverschiebung hoch,-14576360,-5327080,165596684,-0.0880,-0.0322,nein,nein,
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,0020,Parallelverschiebung runter,579395,1769984,165596684,0.0035,0.0107,nein,nein,
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,0030,Steepener,-1356435,,165596684,-0.0082,,nein,,
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,0040,Flattener,-1235096,,165596684,-0.0075,,nein,,
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,0050,kurze Zinsen hoch,-8104874,,165596684,-0.0489,,nein,,
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,0060,kurze Zinsen runter,1736703,,165596684,0.0105,,nein,,
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0010,Parallelverschiebung hoch,-31968874,-3617956,528793462,-0.0605,-0.0068,nein,nein,
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0020,Parallelverschiebung runter,-1361310,-15943362,528793462,-0.0026,-0.0302,nein,nein,
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0030,Steepener,8039822,,528793462,0.0152,,nein,,
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0040,Flattener,-22146837,,528793462,-0.0419,,nein,,
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0050,kurze Zinsen hoch,-26435040,,528793462,-0.0500,,nein,,
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0060,kurze Zinsen runter,2919757,,528793462,0.0055,,nein,,
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0010,Parallelverschiebung hoch,11940018,5265650,544582503,0.0219,0.0097,nein,nein,
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0020,Parallelverschiebung runter,-34313506,-19577062,544582503,-0.0630,-0.0359,nein,nein,
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0030,Steepener,-4713730,,544582503,-0.0087,,nein,,
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0040,Flattener,3249452,,544582503,0.0060,,nein,,
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0050,kurze Zinsen hoch,6207557,,544582503,0.0114,,nein,,
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,0060,kurze Zinsen runter,-21759902,,544582503,-0.0400,,nein,,
