institution_type,template_id,template_title,n_institute,frequenz,muster_modal,anteil_modal,eindeutig,n_vierteljaehrlich,n_halbjaehrlich,n_jaehrlich,n_nie,n_uneinheitlich
Large highest EEA,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),58,jaehrlich,0010,0.828,ja,0,1,48,8,1
Large highest EEA,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,58,jaehrlich,0010,0.879,ja,0,2,51,3,2
Large highest EEA,65.00,EU PV1: Prudent valuation adjustments (PVA),58,jaehrlich,0010,0.69,ja,0,1,40,15,2
Large highest EEA,66.01,EU CC1 - Composition of regulatory own funds,58,halbjaehrlich,1010,0.862,ja,1,50,3,0,4
Large highest EEA,66.02,EU CC2 - reconciliation of regulatory own funds to balance sheet in the audited financial statements,58,halbjaehrlich,1010,0.897,ja,0,52,3,0,3
Large highest EEA,67.01,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,58,halbjaehrlich,1010,0.966,ja,0,56,0,0,2
Large highest EEA,67.02,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,58,halbjaehrlich,1010,0.931,ja,0,54,1,0,3
Large highest EEA,70.00,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,58,halbjaehrlich,1010,0.948,ja,1,55,0,0,2
Large highest EEA,71.00,EU LR2 - LRCom: Leverage ratio common disclosure,58,halbjaehrlich,1010,0.914,ja,1,53,2,0,2
Large highest EEA,72.00,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",58,halbjaehrlich,1010,0.966,ja,1,56,0,0,1
Large highest EEA,73.00,EU LIQ1 - Quantitative information of LCR,58,vierteljaehrlich,1111,0.948,ja,55,0,0,0,3
Large highest EEA,74.00,EU LIQ2: Net Stable Funding Ratio,58,halbjaehrlich,1010,0.931,ja,0,54,1,0,3
Large highest EEA,90.01,"EU KM2 - Key metrics - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",9,vierteljaehrlich,1111,0.778,ja,7,1,0,1,0
Large highest EEA,91.00,"EU TLAC1 - Composition - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",9,halbjaehrlich,1010,0.778,ja,0,7,1,1,0
Large highest EEA,93.00,"EU ILAC - Internal loss absorbing capacity: internal MREL and, where applicable, requirement for own funds and eligible liabilities for non-EU G-SIIs",9,nie,0000,0.778,ja,1,1,0,7,0
Large highest EEA,95.00,EU TLAC2a - Creditor ranking - Entity that is not a resolution entity,9,nie,0000,0.667,ja,0,2,0,6,1
Large highest EEA,96.00,EU TLAC2b: Creditor ranking - Entity that is not a resolution entity,9,nie,0000,0.889,ja,0,1,0,8,0
Large highest EEA,97.00,EU TLAC3a - creditor ranking - resolution entity,9,uneinheitlich,1010,0.556,nein,0,5,0,4,0
Large highest EEA,98.00,EU TLAC3b: creditor ranking - resolution entity,9,uneinheitlich,0000,0.556,nein,0,2,2,5,0
Large subsidiaries,00.01,Accompanying narrative FINDIS,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
