lei,scope,refPeriod,bank_name,country,institution_type,kredite_eur,npe_eur,npl_quote,forborne_performing_eur,vorstufe_quote,forborne_non_performing_eur,npf_quote,vorstufe_verhaeltnis,wb_npe_eur,wb_vorzeichen,deckungsquote,npl_unter_median,fruehwarnung
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,13303740726.95,1921527771.79,0.144435,38217382.96,0.002873,31653763.76,0.002379,0.0199,-844144862.00,negativ,0.439309,nein,nein
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,1196433598.14,38069182.32,0.031819,4631067.38,0.003871,7946805.78,0.006642,0.1216,-22867072.21,negativ,0.600671,nein,nein
2138007F5HA5FFJROB80,CON,2025-12-31,"Akciju sabiedrība ""Rietumu Banka""",Latvia,Other highest EEA,729893000.00,188791000.00,0.258656,5963000.00,0.008170,121125000.00,0.165949,0.0316,-84637000.00,negativ,0.448311,nein,nein
2138007JGI1M5YF7FJ53,CON,2025-12-31,Frøs Sparekasse,Denmark,Other highest EEA,773095604.33,46547267.71,0.060209,2573430.45,0.003329,5688488.61,0.007358,0.0553,27028789.88,positiv,0.580674,nein,nein
2138007WKF5CM2EUM824,IND,2025-12-31,"Citfin, spořitelní družstvo",Czech,Other highest EEA,12215846276.95,353420302.39,0.028931,135876581.96,0.011123,67662653.22,0.005539,0.3845,-245563915.22,negativ,0.694821,nein,nein
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,3845508829.86,65107991.95,0.016931,16281168.69,0.004234,23886398.24,0.006212,0.2501,-32057145.11,negativ,0.492369,ja,nein
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,3577085100.43,49226206.71,0.013762,3201788.58,0.000895,13343997.12,0.003730,0.0650,-17877793.39,negativ,0.363176,ja,nein
213800CBW4NPFP73ZK64,CON,2025-12-31,ANCORIA INVESTMENTS PLC,Cyprus,Other highest EEA,305295154.00,11091832.00,0.036332,458535.95,0.001502,1473535.60,0.004827,0.0413,-770659.00,negativ,0.069480,nein,nein
213800CQ92347ZCS9V73,CON,2025-12-31,"ATLÂNTICO EUROPA, SGPS, SA",Portugal,Other highest EEA,196547485.78,3881920.18,0.019751,0.00,0.000000,2468274.20,0.012558,0.0000,-1465650.45,negativ,0.377558,ja,nein
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,46802462583.00,1725565161.00,0.036869,805343360.00,0.017207,821133410.00,0.017545,0.4667,-540343294.00,negativ,0.313140,nein,nein
213800JF3JFF6MMR2P36,CON,2025-12-31,Fynske Bank A/S,Denmark,Other highest EEA,593108566.06,22299914.93,0.037598,129964.75,0.000219,3400297.22,0.005733,0.0058,-8023759.92,negativ,0.359811,nein,nein
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,58329380910.00,1433773743.00,0.024581,719956776.00,0.012343,655942268.00,0.011245,0.5021,-630596562.00,negativ,0.439816,nein,nein
213800KYUPNOQPAQL758,CON,2025-12-31,BANCO DE INVESTIMENTO GLOBAL S.A.,Portugal,Other highest EEA,272225.00,81.00,0.000298,0.00,0.000000,0.00,0.000000,0.0000,-21.00,negativ,0.259259,ja,nein
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,41162559386.24,273033103.20,0.006633,515023741.76,0.012512,75596601.76,0.001837,1.8863,-68645561.16,negativ,0.251418,ja,ja
213800P1P13ABO5R9V78,IND,2025-12-31,Societe Generale Bank - Cyprus Ltd,Cyprus,Other highest EEA,337567.00,24316.00,0.072033,3861.00,0.011438,7505.00,0.022233,0.1588,-14851.00,negativ,0.610750,nein,nein
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,11612471154.04,231860250.21,0.019966,150436181.46,0.012955,141098585.18,0.012151,0.6488,-63408166.51,negativ,0.273476,ja,nein
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,3336.54,30.43,0.009120,8.66,0.002596,24.62,0.007379,0.2846,-7.45,negativ,0.244824,ja,nein
213800TKOS7J5UA3ZI07,IND,2025-12-31,EUROPE ARAB BANK SA,France,Other highest EEA,791640041.39,14925296.21,0.018854,,,,,,,,,ja,nein
213800UIIZ6YSEQB5S26,CON,2025-12-31,Clearstream Fund Centre Holding S.A.,Luxembourg,Other highest EEA,14988106.98,0.00,0.000000,,,,,,0.00,null,,ja,nein
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,4683998253.53,18728308.22,0.003998,,,670819.47,0.000143,,-7908858.43,negativ,0.422294,ja,nein
213800ZOI1EW481WPV90,IND,2025-12-31,FCM Bank Ltd,Malta,Other highest EEA,377386810.05,9105870.07,0.024129,24668397.45,0.065366,2765898.79,0.007329,2.7091,-391706.00,negativ,0.043017,nein,nein
22210058UCKT3BJTCN24,CON,2025-12-31,OTP Luxembourg S.à r.l.,Luxembourg,Large subsidiaries,8292672000.00,251172000.00,0.030288,29452000.00,0.003552,115881000.00,0.013974,0.1173,-116898000.00,negativ,0.465410,nein,nein
222100PG81CES7H3HZ28,CON,2025-12-31,Aneto S.à r.l.,Luxembourg,Other highest EEA,2840020000.00,199010000.00,0.070073,77098000.00,0.027147,65383000.00,0.023022,0.3874,-132776000.00,negativ,0.667183,nein,nein
222100V03Y766EM5TZ83,IND,2025-12-31,Brown Brothers Harriman (Luxembourg) S.C.A.,Luxembourg,,26167342.67,4687465.71,0.179134,,,,,,-25194.73,negativ,0.005375,nein,nein
2534005A84927EKSR789,CON,2025-12-31,Signet Bank AS,Latvia,Other highest EEA,339569029.00,7872688.00,0.023184,18289728.00,0.053862,4807358.00,0.014157,2.3232,-1822014.00,negativ,0.231435,ja,ja
