lei,scope,refPeriod,bank_name,country,institution_type,identified_staff,mitarbeiter,mitarbeiter_stand,wikidata_id,anteil,erwarteter_anteil,faktor_gegen_erwartung,vorbehalt
I6USJ58BDV2BO5KP3C31,CON,2025-12-31,"MONETA Money Bank, a.s.",Czech,Other highest EEA,40,3074,2019-01-01,Q24282966,0.013012,0.038868,0.335,
J4CP7MHCXR8DAQMKIL78,CON,2025-12-31,Banca Monte dei Paschi di Siena S.p.A.,Italy,Large highest EEA,296,25781,2017-06-30,Q46730,0.011481,0.013423,0.855,
K8MS7FD7N5Z2WQ51AZ71,CON,2025-12-31,"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,Large highest EEA,376,127174,,Q806189,0.002957,0.006044,0.489,
KR6LSKV3BTSJRD41IF75,CON,2025-12-31,"UniCredit Bank Czech Republic and Slovakia, a.s.",Czech,Large subsidiaries,95,3242,2021-01-01,Q11878398,0.029303,0.037848,0.774,
KX1WK48MPD4Y2NCUIZ63,CON,2025-12-31,Natixis,France,Large subsidiaries,451,16000,2020-12-31,Q571156,0.028188,0.017038,1.654,
MAES062Z21O4RZ2U7M96,CON,2025-12-31,Danske Bank A/S,Denmark,Large highest EEA,456,21022,2022-01-01,Q1636974,0.021692,0.014865,1.459,
N4JDFKKH2FTD8RKFXO39,CON,2025-12-31,Crédit industriel et commercial - CIC,France,Large subsidiaries,399,19400,2021-12-31,Q746525,0.020567,0.015474,1.329,
PWEFG14QWWESISQ84C69,CON,2025-12-31,IKB Deutsche Industriebank Aktiengesellschaft,Germany,Other highest EEA,109,733,2019-01-01,Q152957,0.148704,0.079589,1.868,
R0MUWSFPU8MPRO8K5P83,CON,2025-12-31,BNP Paribas,France,Large highest EEA,1372,180000,2025-12-31,Q499707,0.007622,0.005081,1.500,
RRUN0TCQ1K2JDV7MXO75,CON,2025-12-31,Oberbank AG,Austria,Other highest EEA,231,2025,2015-12-31,Q2009139,0.114074,0.047887,2.382,rem_befund
SI5RG2M0WQQLZCXKRM20,CON,2025-12-31,"Banco de Sabadell, S.A.",Spain,Large highest EEA,172,18895,2022-01-01,Q762330,0.009103,0.015679,0.581,
VWMYAEQSTOPNV0SUGU82,CON,2025-12-31,"Bankinter, S.A.",Spain,Large highest EEA,107,4088,2013-12-31,Q806808,0.026174,0.033705,0.777,
