lei,scope,bank_name,country,institution_type,template_id,template_title,frequenz,frequenz_n_institute,frequenz_eindeutig,lage,erwartung,n_erwartet,n_offengelegt,urteil,n_signatur_geteilt,einzelfall
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,08.00,EU CCR8 – Exposures to CCPs,halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,halbjaehrlich,58,ja,0000,1010,2,0,dauerhaft,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,10.00,EU MR1 - Market risk under the standardised approach,halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,25.00,EU CR5 – standardised approach,halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,halbjaehrlich,58,ja,1010,1010,2,2,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,60.00,EU OV1 – Overview of total risk exposure amounts (I),vierteljaehrlich,58,ja,1111,1111,4,4,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,61.00,EU KM1 - Key metrics template,vierteljaehrlich,58,ja,1111,1111,4,4,kalendertreu,0,
1FOLRR5RWTWWI397R131,IND,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,vierteljaehrlich,58,ja,1111,1111,4,4,kalendertreu,0,
