entityID,refPeriod,framework_version,template_id,template_reported,datapoint_code,cell_row,cell_col,fact_value,baseCurrency,decimalsMonetary
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527742,0110,0010,2047118513.56,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528245,0110,0120,2238843771.65,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528271,0030,0120,140261015.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528293,0070,0120,191712320.96,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528299,0030,0010,140261015.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528302,0060,0010,1700454027.29,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528309,0100,0010,111.65,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528312,0070,0060,178698372.23,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291775,0080,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291775,0080,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,7,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,208,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291777,0030,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291777,0030,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291777,0030,0030,7,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291777,0030,0030,58,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291780,0050,0030,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291780,0050,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291780,0050,0030,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291808,0090,0030,42,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291808,0090,0030,83,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291808,0090,0030,32,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291808,0090,0030,591,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291808,0090,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291817,0070,0030,19,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291817,0070,0030,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291817,0070,0030,4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291819,0060,0030,9,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291822,0040,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291822,0040,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291822,0040,0030,11,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291824,0010,0030,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291824,0010,0030,292,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291824,0010,0030,34,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291824,0010,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291824,0010,0030,76,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291838,0040,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291838,0040,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291839,0030,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291839,0030,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291839,0030,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291839,0030,0050,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291840,0020,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291840,0020,0050,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291840,0020,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291840,0020,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291843,0070,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291843,0070,0050,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291847,0090,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291847,0090,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291847,0090,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291847,0090,0050,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291847,0090,0050,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291848,0050,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291848,0050,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291848,0050,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291855,0010,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291855,0010,0050,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291855,0010,0050,2,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291855,0010,0050,2,iso4217:EUR,-6
