entityID,lei,scope,refPeriod,bank_name,country,institution_type,deklaration,n_deklariert,n_offengelegt,n_ausgelassen,quote_roh,n_erwartbar,n_gegen_erwartung,quote_gegen_erwartung,n_art432_2,n_uneinheitlich,n_untypisch,n_false_mit_daten,n_true_ohne_daten,n_signatur_geteilt,templates_gegen_erwartung
rs:549300RFKNCOX56F8591.CON,549300RFKNCOX56F8591,CON,2026-03-31,RAIFFEISEN BANK S.A.,Romania,Large subsidiaries,stimmig,38,4,34,0.8947,0,0,,0,0,0,0,0,0,
rs:549300RG3H390KEL8896.CON,549300RG3H390KEL8896,CON,2025-06-30,Banca Transilvania,Romania,Large highest EEA,stimmig,94,72,22,0.234,22,0,0.0,0,38,34,0,32,0,
rs:549300RG3H390KEL8896.CON,549300RG3H390KEL8896,CON,2025-09-30,Banca Transilvania,Romania,Large highest EEA,stimmig,55,4,51,0.9273,3,0,0.0,0,6,46,0,0,0,
rs:549300RG3H390KEL8896.CON,549300RG3H390KEL8896,CON,2025-12-31,Banca Transilvania,Romania,Large highest EEA,stimmig,99,54,45,0.4545,44,6,0.1364,0,49,6,0,0,0,08.00|10.00|22.01|23.00|45.00|82.00
rs:549300RMML7KXP6M1Y98.IND,549300RMML7KXP6M1Y98,IND,2025-12-31,BANCO BAI EUROPA S.A.,Portugal,Other highest EEA,stimmig,84,15,69,0.8214,10,1,0.1,0,44,30,0,4,2,91.00
rs:549300S2T3FWVVXWJI89.CON,549300S2T3FWVVXWJI89,CON,2025-06-30,"Slovenská sporiteľňa, a.s.",Slovakia,Large subsidiaries,stimmig,79,28,51,0.6456,6,0,0.0,0,37,36,0,0,0,
rs:549300S2T3FWVVXWJI89.CON,549300S2T3FWVVXWJI89,CON,2025-09-30,"Slovenská sporiteľňa, a.s.",Slovakia,Large subsidiaries,stimmig,55,7,48,0.8727,3,0,0.0,0,7,45,0,0,0,
rs:549300S2T3FWVVXWJI89.CON,549300S2T3FWVVXWJI89,CON,2025-12-31,"Slovenská sporiteľňa, a.s.",Slovakia,Large subsidiaries,stimmig,79,30,49,0.6203,18,0,0.0,0,41,20,0,0,0,
rs:549300S2T3FWVVXWJI89.CON,549300S2T3FWVVXWJI89,CON,2026-03-31,"Slovenská sporiteľňa, a.s.",Slovakia,Large subsidiaries,stimmig,54,7,47,0.8704,3,0,0.0,0,7,44,0,0,0,
rs:549300SBPFE9JX7N8J82.IND,549300SBPFE9JX7N8J82,IND,2025-06-30,AB SEB bankas,Lithuania,Large subsidiaries,stimmig,55,2,53,0.9636,1,0,0.0,0,31,23,0,0,0,
rs:549300SBPFE9JX7N8J82.IND,549300SBPFE9JX7N8J82,IND,2025-12-31,AB SEB bankas,Lithuania,Large subsidiaries,stimmig,76,31,45,0.5921,21,0,0.0,0,37,18,0,0,0,
rs:549300SGF4BS54YG8M65.CON,549300SGF4BS54YG8M65,CON,2025-12-31,Citco Bank Nederland N.V.,Netherlands,Other highest EEA,stimmig,114,19,95,0.8333,11,4,0.3636,0,45,30,0,3,0,68.00|80.00|90.01|91.00
rs:549300SXM92LQ05OJQ76.CON,549300SXM92LQ05OJQ76,CON,2025-06-30,Sparebank 1 Nord-Norge SPA,Norway,Other highest EEA,stimmig,55,17,38,0.6909,1,0,0.0,0,0,54,0,0,0,
rs:549300SXM92LQ05OJQ76.CON,549300SXM92LQ05OJQ76,CON,2025-12-31,Sparebank 1 Nord-Norge SPA,Norway,Other highest EEA,stimmig,73,73,0,0.0,8,0,0.0,0,35,30,0,29,0,
rs:549300TDPXT0OW2AY198.CON,549300TDPXT0OW2AY198,CON,2025-12-31,FinAx,Belgium,Other highest EEA,stimmig,71,7,64,0.9014,7,0,0.0,0,34,30,0,0,0,
rs:549300TEJKOLFN65KR76.IND,549300TEJKOLFN65KR76,IND,2025-12-31,BNF Bank plc,Malta,Other highest EEA,stimmig,78,34,44,0.5641,9,0,0.0,0,39,30,0,0,0,
rs:549300TJREQ7GHIXWR36.IND,549300TJREQ7GHIXWR36,IND,2025-06-30,Swedbank Hypotek AB,Sweden,Large subsidiaries,stimmig,79,33,46,0.5823,6,0,0.0,0,37,36,0,9,0,
rs:549300TJREQ7GHIXWR36.IND,549300TJREQ7GHIXWR36,IND,2025-09-30,Swedbank Hypotek AB,Sweden,Large subsidiaries,stimmig,63,12,51,0.8095,3,0,0.0,0,7,45,0,6,0,
rs:549300TJREQ7GHIXWR36.IND,549300TJREQ7GHIXWR36,IND,2025-12-31,Swedbank Hypotek AB,Sweden,Large subsidiaries,stimmig,84,46,38,0.4524,21,0,0.0,0,43,20,0,17,0,
rs:549300TJREQ7GHIXWR36.IND,549300TJREQ7GHIXWR36,IND,2026-03-31,Swedbank Hypotek AB,Sweden,Large subsidiaries,stimmig,54,10,44,0.8148,3,0,0.0,0,7,44,0,6,0,
rs:549300TK038P6EV4YU51.CON,549300TK038P6EV4YU51,CON,2025-12-31,AB Artea bankas,Lithuania,Large highest EEA,stimmig,99,56,43,0.4343,44,2,0.0455,0,49,6,0,1,0,08.00|45.00
rs:549300TK038P6EV4YU51.CON,549300TK038P6EV4YU51,CON,2026-03-31,AB Artea bankas,Lithuania,Large highest EEA,stimmig,54,2,52,0.963,3,1,0.3333,0,6,45,0,0,0,60.00
rs:549300TL5406IC1XKD09.CON,549300TL5406IC1XKD09,CON,2025-12-31,Saxo Bank A/S,Denmark,Large highest EEA,stimmig,86,55,31,0.3605,40,1,0.025,0,43,3,0,0,14,80.00
rs:549300TLZPT6JELDWM92.CON,549300TLZPT6JELDWM92,CON,2025-12-31,Landsbankinn hf.,Iceland,Large highest EEA,stimmig,55,28,27,0.4909,23,1,0.0435,0,31,1,0,1,0,08.00
rs:549300TLZPT6JELDWM92.CON,549300TLZPT6JELDWM92,CON,2026-03-31,Landsbankinn hf.,Iceland,Large highest EEA,stimmig,54,4,50,0.9259,3,0,0.0,0,6,45,0,0,0,
rs:549300TRUWO2CD2G5692.CON,549300TRUWO2CD2G5692,CON,2025-06-30,"UNICREDIT, SOCIETA' PER AZIONI",Italy,Large highest EEA,stimmig,86,50,36,0.4186,21,0,0.0,0,36,29,0,0,0,
rs:549300TRUWO2CD2G5692.CON,549300TRUWO2CD2G5692,CON,2025-09-30,"UNICREDIT, SOCIETA' PER AZIONI",Italy,Large highest EEA,stimmig,55,10,45,0.8182,3,0,0.0,0,6,46,0,0,0,
rs:549300TRUWO2CD2G5692.CON,549300TRUWO2CD2G5692,CON,2025-12-31,"UNICREDIT, SOCIETA' PER AZIONI",Italy,Large highest EEA,stimmig,91,71,20,0.2198,42,0,0.0,0,45,4,0,0,0,
rs:549300TRUWO2CD2G5692.CON,549300TRUWO2CD2G5692,CON,2026-03-31,"UNICREDIT, SOCIETA' PER AZIONI",Italy,Large highest EEA,stimmig,54,10,44,0.8148,3,0,0.0,0,6,45,0,0,0,
rs:549300TTZTKBUFKWH890.CON,549300TTZTKBUFKWH890,CON,2025-12-31,The Cyprus Development Bank Public Company Ltd,Cyprus,Other highest EEA,stimmig,114,31,83,0.7281,11,2,0.1818,0,45,30,0,0,7,90.01|91.00
rs:549300U4LIZV0REEQQ46.CON,549300U4LIZV0REEQQ46,CON,2025-06-30,"Kutxabank, S.A.",Spain,Large highest EEA,stimmig,94,37,57,0.6064,22,0,0.0,0,38,34,0,0,0,
rs:549300U4LIZV0REEQQ46.CON,549300U4LIZV0REEQQ46,CON,2025-09-30,"Kutxabank, S.A.",Spain,Large highest EEA,stimmig,55,7,48,0.8727,3,0,0.0,0,6,46,0,0,0,
rs:549300U4LIZV0REEQQ46.CON,549300U4LIZV0REEQQ46,CON,2025-12-31,"Kutxabank, S.A.",Spain,Large highest EEA,stimmig,99,61,38,0.3838,44,1,0.0227,0,49,6,0,0,12,83.01
rs:549300U4LIZV0REEQQ46.CON,549300U4LIZV0REEQQ46,CON,2026-03-31,"Kutxabank, S.A.",Spain,Large highest EEA,stimmig,54,7,47,0.8704,3,0,0.0,0,6,45,0,0,0,
rs:549300UARE5MHTBUPJ19.CON,549300UARE5MHTBUPJ19,CON,2025-12-31,Promontoria 19 Coöperatie U.A.,Netherlands,Large highest EEA,stimmig,86,30,56,0.6512,38,11,0.2895,1,44,4,0,0,0,10.00|19.02|19.03|21.02|22.01|43.00|64.01|64.03|66.02|73.00|74.00
rs:549300UOX05QGUJJ5707.IND,549300UOX05QGUJJ5707,IND,2025-06-30,Stadshypotek AB,Sweden,Large subsidiaries,stimmig,55,1,54,0.9818,1,0,0.0,0,31,23,0,0,0,
rs:549300UOX05QGUJJ5707.IND,549300UOX05QGUJJ5707,IND,2025-12-31,Stadshypotek AB,Sweden,Large subsidiaries,stimmig,84,25,59,0.7024,21,2,0.0952,2,43,20,0,0,0,30.03|66.02
rs:549300URJH9VSI58CS32.CON,549300URJH9VSI58CS32,CON,2025-06-30,"Banco Santander Totta, SA",Portugal,Large subsidiaries,stimmig,44,26,18,0.4091,9,1,0.1111,0,17,13,0,0,4,21.02
rs:549300URJH9VSI58CS32.CON,549300URJH9VSI58CS32,CON,2025-12-31,"Banco Santander Totta, SA",Portugal,Large subsidiaries,stimmig,99,62,37,0.3737,24,1,0.0417,0,48,27,0,0,4,21.02
rs:549300UY81ESCZJ0GR95.CON,549300UY81ESCZJ0GR95,CON,2025-06-30,First Investment Bank,Bulgaria,Large highest EEA,stimmig,86,65,21,0.2442,21,0,0.0,0,36,29,0,29,0,
rs:549300UY81ESCZJ0GR95.CON,549300UY81ESCZJ0GR95,CON,2025-09-30,First Investment Bank,Bulgaria,Large highest EEA,stimmig,55,3,52,0.9455,3,0,0.0,0,6,46,0,0,0,
rs:549300UY81ESCZJ0GR95.CON,549300UY81ESCZJ0GR95,CON,2025-12-31,First Investment Bank,Bulgaria,Large highest EEA,stimmig,99,96,3,0.0303,44,3,0.0682,0,49,6,0,43,1,20.01|20.02|20.03
rs:549300UY81ESCZJ0GR95.CON,549300UY81ESCZJ0GR95,CON,2026-03-31,First Investment Bank,Bulgaria,Large highest EEA,stimmig,54,3,51,0.9444,3,0,0.0,0,6,45,0,0,0,
rs:549300V1VN70Q7PQ7234.CON,549300V1VN70Q7PQ7234,CON,2025-06-30,CRÉDIT AGRICOLE AUTO BANK S.P.A.,Italy,Large subsidiaries,stimmig,79,21,58,0.7342,6,0,0.0,0,37,36,0,0,0,
rs:549300V1VN70Q7PQ7234.CON,549300V1VN70Q7PQ7234,CON,2025-09-30,CRÉDIT AGRICOLE AUTO BANK S.P.A.,Italy,Large subsidiaries,stimmig,55,3,52,0.9455,3,0,0.0,0,7,45,0,0,0,
rs:549300V1VN70Q7PQ7234.CON,549300V1VN70Q7PQ7234,CON,2025-12-31,CRÉDIT AGRICOLE AUTO BANK S.P.A.,Italy,Large subsidiaries,stimmig,84,28,56,0.6667,21,0,0.0,0,43,20,0,0,0,
rs:549300V4H4USWZUCE073.IND,549300V4H4USWZUCE073,IND,2025-12-31,"BISON BANK, SA",Portugal,Other highest EEA,stimmig,76,15,61,0.8026,8,0,0.0,0,38,30,0,2,0,
rs:549300VRM6G42M8OWN49.CON,549300VRM6G42M8OWN49,CON,2025-06-30,Sparebank 1 Østlandet,Norway,Other highest EEA,stimmig,63,2,61,0.9683,1,0,0.0,0,0,54,0,0,0,
rs:549300VRM6G42M8OWN49.CON,549300VRM6G42M8OWN49,CON,2025-12-31,Sparebank 1 Østlandet,Norway,Other highest EEA,stimmig,99,99,0,0.0,11,0,0.0,0,45,30,0,44,0,
rs:549300WDT1HWUMTUW770.IND,549300WDT1HWUMTUW770,IND,2025-06-30,Standard Chartered Bank AG,Germany,Other highest EEA,stimmig,55,6,49,0.8909,1,0,0.0,0,0,54,0,0,0,
rs:549300WDT1HWUMTUW770.IND,549300WDT1HWUMTUW770,IND,2025-12-31,Standard Chartered Bank AG,Germany,Other highest EEA,stimmig,60,10,50,0.8333,5,0,0.0,0,29,26,0,0,0,
rs:549300X34UUBDEUL1Z91.CON,549300X34UUBDEUL1Z91,CON,2025-06-30,HSBC Bank Malta p.l.c.,Malta,Large subsidiaries,stimmig,86,37,49,0.5698,10,0,0.0,0,45,31,0,0,0,
rs:549300X34UUBDEUL1Z91.CON,549300X34UUBDEUL1Z91,CON,2025-12-31,HSBC Bank Malta p.l.c.,Malta,Large subsidiaries,stimmig,91,40,51,0.5604,24,0,0.0,0,42,25,0,0,0,
rs:549300XGJX6FOWLOI640.IND,549300XGJX6FOWLOI640,IND,2025-12-31,FIDEURAM - INTESA SANPAOLO PRIVATE BANKING S.P.A.,Italy,Large subsidiaries,stimmig,89,25,64,0.7191,23,3,0.1304,1,41,25,0,0,0,30.03|73.00|74.00
rs:549300XWJHRKLHU2PS28.CON,549300XWJHRKLHU2PS28,CON,2025-12-31,ERSTE csoport,Hungary,Large subsidiaries,stimmig,114,71,43,0.3772,24,0,0.0,0,48,27,0,0,0,
rs:549300YV6LXRPJO3U576.IND,549300YV6LXRPJO3U576,IND,2025-12-31,Merkur Andelskasse,Denmark,Other highest EEA,stimmig,68,17,51,0.75,7,0,0.0,0,35,26,0,8,0,
rs:549300YW95G1VBBGGV07.CON,549300YW95G1VBBGGV07,CON,2025-06-30,"AS ""SEB banka""",Latvia,Large subsidiaries,stimmig,55,1,54,0.9818,1,0,0.0,0,31,23,0,0,0,
rs:549300YW95G1VBBGGV07.CON,549300YW95G1VBBGGV07,CON,2025-12-31,"AS ""SEB banka""",Latvia,Large subsidiaries,stimmig,76,29,47,0.6184,21,0,0.0,0,37,18,0,0,0,
rs:549300Z7V2WOFIMUEK50.CON,549300Z7V2WOFIMUEK50,CON,2025-06-30,UniCredit Bulbank AD,Bulgaria,Large subsidiaries,stimmig,55,1,54,0.9818,1,0,0.0,0,31,23,0,0,0,
rs:549300Z7V2WOFIMUEK50.CON,549300Z7V2WOFIMUEK50,CON,2025-12-31,UniCredit Bulbank AD,Bulgaria,Large subsidiaries,stimmig,78,57,21,0.2692,22,0,0.0,0,38,18,0,0,0,
