ebene,entityID,lei,scope,refPeriod,template_id,bank_name,country,trea_eur,versatz_log10,zeitreihe_faktor,decimals_deklariert,anteil_erreicht_genauigkeit,n_zellen,signale,urteil,faktor_geschaetzt
report,rs:529900ODI3047E2LIV03.CON,529900ODI3047E2LIV03,CON,2025-06-30,,Nordea Bank Abp,Finland,158600000000.0,0.614,1,-6.0,0.772,4131,,unauffaellig,
report,rs:529900ODI3047E2LIV03.CON,529900ODI3047E2LIV03,CON,2025-09-30,,Nordea Bank Abp,Finland,158400000000.0,0.753,1,-6.0,0.9956,420,,unauffaellig,
report,rs:529900ODI3047E2LIV03.CON,529900ODI3047E2LIV03,CON,2025-12-31,,Nordea Bank Abp,Finland,159700000000.0,0.903,1,-6.0,0.7812,4463,,unauffaellig,
report,rs:529900ODI3047E2LIV03.CON,529900ODI3047E2LIV03,CON,2026-03-31,,Nordea Bank Abp,Finland,162100000000.0,0.691,1,-6.0,0.9937,442,,unauffaellig,
report,rs:529900OE1FOAM50XLP72.CON,529900OE1FOAM50XLP72,CON,2025-06-30,,Liechtensteinische Landesbank AG,Liechtenstein,10760000000.0,-0.196,,-3.0,1.0,70,,unauffaellig,
report,rs:529900OKPZTTS50FXP26.IND,529900OKPZTTS50FXP26,IND,2025-12-31,,Advanzia Bank S.A.,Luxembourg,2961000000.0,-0.283,,-3.0,0.9978,424,,unauffaellig,
report,rs:529900OLW8QPFMTBDC23.IND,529900OLW8QPFMTBDC23,IND,2025-12-31,,Neue Bank AG,Liechtenstein,539300000.0,-0.904,,-3.0,0.9959,197,,unauffaellig,
report,rs:529900P8BY9HZTZ82T70.IND,529900P8BY9HZTZ82T70,IND,2025-12-31,,Volksbank Kraichgau eG,Germany,6205000000.0,-0.084,,-3.0,0.9969,298,,unauffaellig,
report,rs:529900PR2ELW8QI1B775.IND,529900PR2ELW8QI1B775,IND,2025-12-31,,DLR Kredit A/S,Denmark,,-6.206,,-3.0,0.1806,572,versatz,skaliert,10^6
report,rs:529900PUK9IU39VCWK54.IND,529900PUK9IU39VCWK54,IND,2025-12-31,,Volksbank in Ostwestfalen eG,Germany,7710000000.0,-0.036,,-3.0,0.9879,313,,unauffaellig,
report,rs:529900Q2C3I7VCILLG45.CON,529900Q2C3I7VCILLG45,CON,2025-12-31,,FIMBank plc,Malta,1086000000.0,-1.059,,-6.0,0.7954,1500,,unauffaellig,
report,rs:529900QYEJ2GYSWK1F08.CON,529900QYEJ2GYSWK1F08,CON,2025-06-30,,RLB-Stmk Verbund eGen,Austria,8623000000.0,,1,6.0,0.0,0,,unauffaellig,
report,rs:529900QYEJ2GYSWK1F08.CON,529900QYEJ2GYSWK1F08,CON,2025-12-31,,RLB-Stmk Verbund eGen,Austria,8939000000.0,-0.08,1,6.0,0.0,2030,,unauffaellig,
report,rs:529900RCLERIIXF4QM23.IND,529900RCLERIIXF4QM23,IND,2025-12-31,,bank99 AG,Austria,1000.0,-6.698,,6.0,0.0,203,untergrenze|versatz,skaliert,10^6
report,rs:529900RPGHC6DQEQL615.IND,529900RPGHC6DQEQL615,IND,2025-12-31,,International Asset Bank AD,Bulgaria,512400.0,-4.154,,-3.0,0.7405,1253,untergrenze|versatz,skaliert,10^3
report,rs:529900RQOBT3ZJMDRK43.CON,529900RQOBT3ZJMDRK43,CON,2025-12-31,,Bank Frick AG,Liechtenstein,817500000.0,-0.648,,-3.0,0.9783,84,,unauffaellig,
report,rs:529900RWC8ZYB066JF16.CON,529900RWC8ZYB066JF16,CON,2025-06-30,,Bank of Valletta Plc,Malta,5740.0,-6.581,1,-6.0,0.0221,1751,untergrenze|versatz,skaliert,10^6
report,rs:529900RWC8ZYB066JF16.CON,529900RWC8ZYB066JF16,CON,2025-09-30,,Bank of Valletta Plc,Malta,5800.0,-6.578,1,-6.0,0.0,237,untergrenze|versatz|decimals,skaliert,10^6
report,rs:529900RWC8ZYB066JF16.CON,529900RWC8ZYB066JF16,CON,2025-12-31,,Bank of Valletta Plc,Malta,6273.0,-6.121,1,-6.0,0.0026,2179,untergrenze|versatz|decimals,skaliert,10^6
report,rs:529900S1KHKOEQL5CK20.IND,529900S1KHKOEQL5CK20,IND,2025-12-31,,Wüstenrot Bausparkasse Aktiengesellschaft,Germany,7572000000.0,-0.219,,-6.0,0.7628,2230,,unauffaellig,
report,rs:529900SEFOTJH1MLGZ92.IND,529900SEFOTJH1MLGZ92,IND,2025-12-31,,Lægernes Bank A/S,Denmark,712900000.0,-1.102,,2.0,0.0,170,,unauffaellig,
report,rs:529900SS7ZWCX82U3W60.IND,529900SS7ZWCX82U3W60,IND,2025-12-31,,DEUTSCHE BANK S.P.A.,Italy,20700000000.0,0.149,,-3.0,0.8962,1668,,unauffaellig,
report,rs:529900SSGT49ZZSWYE62.CON,529900SSGT49ZZSWYE62,CON,2025-12-31,,Volkswagen Financial Services AG,Germany,185600000000.0,0.446,1,-6.0,0.3257,2897,,unauffaellig,
report,rs:529900SSGT49ZZSWYE62.CON,529900SSGT49ZZSWYE62,CON,2026-03-31,,Volkswagen Financial Services AG,Germany,186500000000.0,0.419,1,-6.0,0.9785,230,,unauffaellig,
report,rs:529900SXEWPJ1MRRX537.CON,529900SXEWPJ1MRRX537,CON,2025-12-31,,Raiffeisen-Holding Niederösterreich-Wien registrierte Genossenschaft mit beschränkter Haftung,Austria,16880.0,-5.88,,-3.0,0.2252,2148,untergrenze|versatz,skaliert,10^6
report,rs:529900T32UL0CP1FZA06.CON,529900T32UL0CP1FZA06,CON,2025-12-31,,ALLIANZ BANK FINANCIAL ADVISORS S.P.A.,Italy,3822.0,-6.426,,-6.0,0.0,257,untergrenze|versatz|decimals,skaliert,10^6
report,rs:529900T7MYZUMMW4O176.CON,529900T7MYZUMMW4O176,CON,2025-12-31,,Berliner Volksbank eG,Germany,12380000000.0,0.157,,-3.0,0.9735,284,,unauffaellig,
report,rs:529900TDG1TFZM39SF37.CON,529900TDG1TFZM39SF37,CON,2025-12-31,,Baader Beteiligungs GmbH,Germany,1154000000.0,-0.686,,-3.0,0.99,301,,unauffaellig,
report,rs:529900U5XAEYOT68AC40.IND,529900U5XAEYOT68AC40,IND,2025-12-31,,EFG Bank (Luxembourg) S.A.,Luxembourg,707700000.0,-0.74,,2.0,0.0,315,,unauffaellig,
report,rs:529900UHDH7QLRMEJQ86.CON,529900UHDH7QLRMEJQ86,CON,2025-12-31,,Sigma Bank AG,Liechtenstein,790400000.0,-0.796,,-3.0,0.9896,260,,unauffaellig,
report,rs:529900UIRB65OY6U4B21.IND,529900UIRB65OY6U4B21,IND,2025-12-31,,Lombard Bank Malta plc,Malta,1028000000.0,-1.087,,-3.0,0.9719,1296,,unauffaellig,
report,rs:529900UKZBMDBDZIXD62.CON,529900UKZBMDBDZIXD62,CON,2025-06-30,,Addiko Bank AG,Austria,3865.0,,1,6.0,0.0,0,untergrenze,skaliert,
report,rs:529900UKZBMDBDZIXD62.CON,529900UKZBMDBDZIXD62,CON,2025-12-31,,Addiko Bank AG,Austria,3892.0,-6.486,1,6.0,0.0,1678,untergrenze|versatz,skaliert,10^6
report,rs:529900V3O1M5IHMOSF46.CON,529900V3O1M5IHMOSF46,CON,2025-06-30,,State Street Europe Holdings Germany S.a.r.l. & Co. KG,Germany,12750000000.0,,,-6.0,1.0,0,,unauffaellig,
report,rs:529900VS0F7BA91P4I60.IND,529900VS0F7BA91P4I60,IND,2025-12-31,,Alpha Bank Cyprus Limited,Cyprus,,-0.939,,-3.0,0.9403,624,,unauffaellig,
report,rs:529900VVDOKMRRAHZ894.IND,529900VVDOKMRRAHZ894,IND,2025-12-31,,Bank GPB International S.A.,Luxembourg,526500000.0,-1.071,,2.0,0.0,852,,unauffaellig,
report,rs:529900W3MOO00A18X956.CON,529900W3MOO00A18X956,CON,2025-06-30,,OTP-csoport,Hungary,68250000000.0,0.235,1,-3.0,0.9952,706,,unauffaellig,
report,rs:529900W3MOO00A18X956.CON,529900W3MOO00A18X956,CON,2025-09-30,,OTP-csoport,Hungary,70590000000.0,0.328,1,-3.0,1.0,235,,unauffaellig,
report,rs:529900W3MOO00A18X956.CON,529900W3MOO00A18X956,CON,2025-12-31,,OTP-csoport,Hungary,75550000000.0,0.633,1,-3.0,0.7542,2684,,unauffaellig,
report,rs:529900W3MOO00A18X956.CON,529900W3MOO00A18X956,CON,2026-03-31,,OTP-csoport,Hungary,78490000000.0,0.277,1,-3.0,0.9983,236,,unauffaellig,
report,rs:529900WF3IXMJXSVJ831.IND,529900WF3IXMJXSVJ831,IND,2025-12-31,,Vereinigte Volksbanken eG,Germany,3324000000.0,-0.353,,-3.0,0.9684,84,,unauffaellig,
report,rs:529900XB6RQ3XCELQO62.IND,529900XB6RQ3XCELQO62,IND,2025-12-31,,BENDURA BANK AG,Liechtenstein,464200000.0,-1.071,,-3.0,0.9952,165,,unauffaellig,
report,rs:529900XDLJV1P7HBAH18.IND,529900XDLJV1P7HBAH18,IND,2025-12-31,,Sparkasse Holstein,Germany,6643000000.0,-0.146,,-4.0,0.9676,305,,unauffaellig,
report,rs:529900XSTAE561178282.CON,529900XSTAE561178282,CON,2025-06-30,,Raiffeisenbankengruppe OÖ Verbund eGen,Austria,30360000000.0,-0.042,1,6.0,0.0,3077,,unauffaellig,
report,rs:529900XSTAE561178282.CON,529900XSTAE561178282,CON,2025-09-30,,Raiffeisenbankengruppe OÖ Verbund eGen,Austria,30690000000.0,-0.076,1,6.0,0.0,241,,unauffaellig,
report,rs:529900XSTAE561178282.CON,529900XSTAE561178282,CON,2025-12-31,,Raiffeisenbankengruppe OÖ Verbund eGen,Austria,31340000000.0,0.283,1,-3.0,0.9542,3727,,unauffaellig,
report,rs:529900XSTAE561178282.CON,529900XSTAE561178282,CON,2026-03-31,,Raiffeisenbankengruppe OÖ Verbund eGen,Austria,32100000000.0,-0.149,1,6.0,0.0,247,,unauffaellig,
report,rs:529900ZMDTSQYEYCKL45.IND,529900ZMDTSQYEYCKL45,IND,2025-12-31,,VR TeilhaberBank Metropolregion Nürnberg eG,Germany,3650000000.0,-0.6,,-3.0,0.9904,299,,unauffaellig,
report,rs:529900ZVK4VTIS0TOT43.IND,529900ZVK4VTIS0TOT43,IND,2025-12-31,,DenizBank AG,Austria,3255000000.0,-0.317,,0.0,0.0,274,,unauffaellig,
report,rs:5493000LKS7B3UTF7H35.CON,5493000LKS7B3UTF7H35,CON,2025-06-30,,Bank Polska Kasa Opieki S.A.,Poland,38980000000.0,0.035,1,-6.0,0.7293,2660,,unauffaellig,
report,rs:5493000LKS7B3UTF7H35.CON,5493000LKS7B3UTF7H35,CON,2025-09-30,,Bank Polska Kasa Opieki S.A.,Poland,40110000000.0,0.124,1,-6.0,1.0,239,,unauffaellig,
