lei,name,typ,land,signifikanz,gruppenkopf_lei,gruppenkopf_name,im_bestand,gruppe_im_bestand,einordnung,namenstreffer
5299005434158TH0MT43,Raiffeisen Regionalbank Fügen-Kaltenbach-Zell eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990056W0VDKEDYUY83,VakifBank International AG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990059EQPS5XDTSY92,Raiffeisenbank Mureck eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299005D7BSJAXC1U023,Raiffeisenbank Neustift-Mieders-Schönberg im Stubaital eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299005EA9T38I7XR654,Raiffeisenbank Pöndorf - Frankenmarkt eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299005FGMOKS2X2XW30,Raiffeisenbank Region Grieskirchen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299005OACOC1C1OFJ11,Raiffeisen-Landesbank Tirol AG,CI,Austria,LSI,,,true,false,meldet_selbst,
5299005TKVFZBU7P6A67,Raiffeisenbank St. Marien eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299006CGNTOG0DLV470,Raiffeisenbank im Weinviertel eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299006LX0E5G7H3GA67,Raiffeisenbank Ossiacher See eG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299006QOEXB5SXL4028,Raiffeisenbank St. Martin-Lofer-Weißbach eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299006SI21AP8AO6N63,Raiffeisenbank Oststeiermark Nord eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299006VR0N8XB1AYR69,Raiffeisenbank Salzburg Liefering-Maxglan-Siezenheim eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299006VZVXT7MYYUM62,Raiffeisenbank Kollerschlag eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299006WFYWBOMDCHA64,Raiffeisenbank Gamlitz eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990071PNK8TE25EM38,Raiffeisenbank Grein eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299007BZWKYYR5NCU63,Raiffeisenbank Purbach eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299007D752OSBB86237,Raiffeisenbank Gratwein-Hitzendorf eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299007DEXXIPXREO072,Raiffeisenbank Wartberg an der Krems eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299007DOUWDSEQN8L36,Raiffeisenbank Kössen-Kirchdorf eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299007JS6F7MGJNN453,Raiffeisenbank Mühlviertler Alm eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299007ST2V666DOLE22,Raiffeisenbank im Ötztal und Umgebung eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
