lei,bank_name,country,consolidation,refdate,submission_ts,im_xbrl_bestand,url
21380057HUGFEAF25W84,NOBA Group,SE,CON,2025-12-31,20260417083015001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/21380057HUGFEAF25W84.CON_SE_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260417083015001.zip
2138005M92IEIQVEL297,AS Inbank,EE,CON,2025-06-30,20260218160900001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260218160900001.zip
2138005M92IEIQVEL297,AS Inbank,EE,CON,2025-12-31,20260302140900001,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260302140900001.zip
2138005M92IEIQVEL297,AS Inbank,EE,CON,2025-12-31,20260302150500001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260302150500001.zip
2138005MGIT3X9ZTMP37,Rønde Sparekasse,DK,IND,2025-12-31,20260225103000000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138005MGIT3X9ZTMP37.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260225103000000.zip
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",LV,CON,2025-12-31,20260526132410000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138007F5HA5FFJROB80.CON_LV_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260526132410000.zip
2138007WKF5CM2EUM824,"Citfin, spořitelní družstvo",CZ,IND,2025-12-31,20260629090000004,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138007WKF5CM2EUM824.IND_CZ_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260629090000004.zip
213800984CWACNBY8F31,Sparekassen for Nr. Nebel og Omegn,DK,IND,2025-12-31,20260331104800000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800984CWACNBY8F31.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260331104800000.zip
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,CON,2025-06-30,20260320172901010,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138009Y59EAR7H1UO97.CON_LV_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260320172901010.zip
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,CON,2025-09-30,20260320111201010,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138009Y59EAR7H1UO97.CON_LV_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260320111201010.zip
