template_id,cell_row,cell_col,row_label,col_label,dp_41,dp_42,status
00.02,0430,0010,EU MR3 - Market risk under the simplified standardised approach (SSA),Accompanying narrative,dp3531033,dp3531033,stable
00.02,0440,0010,EU MR1 - Market risk under the standardised approach,Accompanying narrative,dp3531084,dp3531084,stable
00.02,0450,0010,EU MR2-A - Market risk under the internal Model Approach (IMA),Accompanying narrative,dp3531034,dp3531034,stable
00.02,0460,0010,EU MR2-B - RWA flow statements of market risk exposures under the IMA,Accompanying narrative,dp3531035,dp3531035,stable
00.02,0470,0010,EU MR3 - IMA values for trading portfolios,Accompanying narrative,dp3531083,dp3531083,stable
00.02,0480,0010,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach,Accompanying narrative,dp3531036,dp3531036,stable
00.02,0490,0010,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach,Accompanying narrative,dp3531037,dp3531037,stable
00.02,0500,0010,EU CVA3 – Credit valuation adjustement risk under the Standardised Approach,Accompanying narrative,dp3531038,dp3531038,stable
00.02,0510,0010,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,Accompanying narrative,dp3531039,dp3531039,stable
00.02,0520,0010,EU OR1 -Operational risk losses,Accompanying narrative,dp3531040,dp3531040,stable
00.02,0530,0010,"EU OR2 - Business Indicator, components and subcomponents",Accompanying narrative,dp3531041,dp3531041,stable
00.02,0540,0010,EU OR3 - Operational risk own funds requirements and risk exposure amounts,Accompanying narrative,dp3531042,dp3531042,stable
00.02,0550,0010,EU CAE1 – Exposures to crypto-assets,Accompanying narrative,dp3531043,dp3531043,stable
00.02,0560,0010,EU CC1 - Composition of regulatory own funds (Art.437),Accompanying narrative,dp3531044,dp3531044,stable
00.04,0010,0010,EU IRRBB1 - Interest rate risks of non-trading book activities,Accompanying narrative,dp3531072,dp3531072,stable
00.05,0010,0010,"EU KM2 - Key metrics - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",Accompanying narrative,dp3531076,dp3531076,stable
00.05,0020,0010,"EU TLAC1 - Composition - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",Accompanying narrative,dp3531077,dp3531077,stable
00.05,0030,0010,"EU ILAC - Internal loss absorbing capacity: internal MREL and, where applicable, requirement for own funds and eligible liabilities for non-EU G-SIIs",Accompanying narrative,dp3531078,dp3531078,stable
00.05,0040,0010,EU TLAC2a - Creditor ranking - Entity that is not a resolution entity,Accompanying narrative,dp3531079,dp3531079,stable
00.05,0050,0010,EU TLAC2b - Creditor ranking - Entity that is not a resolution entity,Accompanying narrative,dp3531080,dp3531080,stable
00.05,0060,0010,EU TLAC3a - creditor ranking - resolution entity,Accompanying narrative,dp3531081,dp3531081,stable
00.05,0070,0010,EU TLAC3b - creditor ranking - resolution entity,Accompanying narrative,dp3531082,dp3531082,stable
01.00.A,0010,0010,1. Tokenised traditional assets,a. Exposure value,dp3292618,dp3292618,stable
01.00.A,0010,0020,1. Tokenised traditional assets,b. Risk weighted exposures amounts (RWEA),dp3294636,dp3294636,stable
01.00.A,0010,0030,1. Tokenised traditional assets,c. Own funds requirements,dp3529394,dp3529394,stable
01.00.A,0020,0010,2. Asset referencered tokens,a. Exposure value,dp3293019,dp3293019,stable
01.00.A,0020,0020,2. Asset referencered tokens,b. Risk weighted exposures amounts (RWEA),dp3294635,dp3294635,stable
01.00.A,0020,0030,2. Asset referencered tokens,c. Own funds requirements,dp3529426,dp3529426,stable
01.00.A,0030,0010,3. Exposures to other crypto assets,a. Exposure value,dp3292617,dp3292617,stable
01.00.A,0030,0020,3. Exposures to other crypto assets,b. Risk weighted exposures amounts (RWEA),dp3294747,dp3294747,stable
01.00.A,0030,0030,3. Exposures to other crypto assets,c. Own funds requirements,dp3529393,dp3529393,stable
01.00.A,0040,0010,4. Total,a. Exposure value,dp3293018,dp3293018,stable
01.00.A,0040,0020,4. Total,b. Risk weighted exposures amounts (RWEA),dp3294746,dp3294746,stable
01.00.A,0040,0030,4. Total,c. Own funds requirements,dp3529395,dp3529395,stable
01.00.B,0050,0010,5. Exposures to other crypto assets expressed as a  percentage of the institutions's T1 capital,a. Exposure value,dp3295369,dp3295369,stable
02.00,0010,0010,EU1. EU - Original Exposure Method (for derivatives),a. Replacement cost (RC),dp457457,dp457457,stable
02.00,0010,0020,EU1. EU - Original Exposure Method (for derivatives),b. Potential future exposure  (PFE),dp457006,dp457006,stable
02.00,0010,0040,EU1. EU - Original Exposure Method (for derivatives),d. Alpha used for computing regulatory exposure value,dp3526555,dp3526555,stable
02.00,0010,0050,EU1. EU - Original Exposure Method (for derivatives),e. Exposure value pre-CRM,dp456126,dp456126,stable
02.00,0010,0060,EU1. EU - Original Exposure Method (for derivatives),f. Exposure value post-CRM,dp456101,dp456101,stable
02.00,0010,0070,EU1. EU - Original Exposure Method (for derivatives),g. Exposure value,dp456179,dp456179,stable
02.00,0010,0080,EU1. EU - Original Exposure Method (for derivatives),h. RWEA,dp457927,dp457927,stable
02.00,0020,0010,EU2. EU - Simplified SA-CCR (for derivatives),a. Replacement cost (RC),dp457458,dp457458,stable
02.00,0020,0020,EU2. EU - Simplified SA-CCR (for derivatives),b. Potential future exposure  (PFE),dp457007,dp457007,stable
02.00,0020,0040,EU2. EU - Simplified SA-CCR (for derivatives),d. Alpha used for computing regulatory exposure value,dp3526556,dp3526556,stable
02.00,0020,0050,EU2. EU - Simplified SA-CCR (for derivatives),e. Exposure value pre-CRM,dp456127,dp456127,stable
02.00,0020,0060,EU2. EU - Simplified SA-CCR (for derivatives),f. Exposure value post-CRM,dp456102,dp456102,stable
02.00,0020,0070,EU2. EU - Simplified SA-CCR (for derivatives),g. Exposure value,dp456180,dp456180,stable
02.00,0020,0080,EU2. EU - Simplified SA-CCR (for derivatives),h. RWEA,dp457928,dp457928,stable
02.00,0030,0010,1. SA-CCR (for derivatives),a. Replacement cost (RC),dp457459,dp457459,stable
02.00,0030,0020,1. SA-CCR (for derivatives),b. Potential future exposure  (PFE),dp457008,dp457008,stable
02.00,0030,0040,1. SA-CCR (for derivatives),d. Alpha used for computing regulatory exposure value,dp3526557,dp3526557,stable
02.00,0030,0050,1. SA-CCR (for derivatives),e. Exposure value pre-CRM,dp456128,dp456128,stable
02.00,0030,0060,1. SA-CCR (for derivatives),f. Exposure value post-CRM,dp456103,dp456103,stable
02.00,0030,0070,1. SA-CCR (for derivatives),g. Exposure value,dp456181,dp456181,stable
02.00,0030,0080,1. SA-CCR (for derivatives),h. RWEA,dp457929,dp457929,stable
02.00,0040,0030,2. IMM (for derivatives and SFTs),c. EEPE,dp457836,dp457836,stable
02.00,0040,0040,2. IMM (for derivatives and SFTs),d. Alpha used for computing regulatory exposure value,dp457840,dp457840,stable
02.00,0040,0050,2. IMM (for derivatives and SFTs),e. Exposure value pre-CRM,dp456130,dp456130,stable
02.00,0040,0060,2. IMM (for derivatives and SFTs),f. Exposure value post-CRM,dp456105,dp456105,stable
02.00,0040,0070,2. IMM (for derivatives and SFTs),g. Exposure value,dp456183,dp456183,stable
02.00,0040,0080,2. IMM (for derivatives and SFTs),h. RWEA,dp457931,dp457931,stable
02.00,0050,0030,2a. Of which securities financing transactions netting sets,c. EEPE,dp457838,dp457838,stable
02.00,0050,0050,2a. Of which securities financing transactions netting sets,e. Exposure value pre-CRM,dp456133,dp456133,stable
02.00,0050,0060,2a. Of which securities financing transactions netting sets,f. Exposure value post-CRM,dp456108,dp456108,stable
02.00,0050,0070,2a. Of which securities financing transactions netting sets,g. Exposure value,dp456188,dp456188,stable
02.00,0050,0080,2a. Of which securities financing transactions netting sets,h. RWEA,dp457936,dp457936,stable
02.00,0060,0030,2b. Of which derivatives and long settlement transactions netting sets,c. EEPE,dp457835,dp457835,stable
02.00,0060,0050,2b. Of which derivatives and long settlement transactions netting sets,e. Exposure value pre-CRM,dp456129,dp456129,stable
02.00,0060,0060,2b. Of which derivatives and long settlement transactions netting sets,f. Exposure value post-CRM,dp456104,dp456104,stable
