datapoint_code,frequency,label,unit,template
dp442354,3,[TODO: DPM lookup] dp442354,[TODO],[TODO]
dp442356,3,[TODO: DPM lookup] dp442356,[TODO],[TODO]
dp447219,1,[TODO: DPM lookup] dp447219,[TODO],[TODO]
dp447220,1,[TODO: DPM lookup] dp447220,[TODO],[TODO]
dp447221,1,[TODO: DPM lookup] dp447221,[TODO],[TODO]
dp447227,1,[TODO: DPM lookup] dp447227,[TODO],[TODO]
dp447228,1,[TODO: DPM lookup] dp447228,[TODO],[TODO]
dp447232,3,[TODO: DPM lookup] dp447232,[TODO],[TODO]
dp447233,1,[TODO: DPM lookup] dp447233,[TODO],[TODO]
dp447234,2,[TODO: DPM lookup] dp447234,[TODO],[TODO]
dp447235,3,[TODO: DPM lookup] dp447235,[TODO],[TODO]
dp454520,1,[TODO: DPM lookup] dp454520,[TODO],[TODO]
dp454666,1,[TODO: DPM lookup] dp454666,[TODO],[TODO]
dp454675,8,[TODO: DPM lookup] dp454675,[TODO],[TODO]
dp454676,1,[TODO: DPM lookup] dp454676,[TODO],[TODO]
dp454677,1,[TODO: DPM lookup] dp454677,[TODO],[TODO]
dp454678,1,[TODO: DPM lookup] dp454678,[TODO],[TODO]
dp454679,1,[TODO: DPM lookup] dp454679,[TODO],[TODO]
dp454680,1,[TODO: DPM lookup] dp454680,[TODO],[TODO]
dp454683,1,[TODO: DPM lookup] dp454683,[TODO],[TODO]
dp454688,14,[TODO: DPM lookup] dp454688,[TODO],[TODO]
dp454820,3,[TODO: DPM lookup] dp454820,[TODO],[TODO]
dp455024,1,[TODO: DPM lookup] dp455024,[TODO],[TODO]
dp455388,2,[TODO: DPM lookup] dp455388,[TODO],[TODO]
dp455389,2,[TODO: DPM lookup] dp455389,[TODO],[TODO]
dp455390,2,[TODO: DPM lookup] dp455390,[TODO],[TODO]
dp455423,3,[TODO: DPM lookup] dp455423,[TODO],[TODO]
dp455425,3,[TODO: DPM lookup] dp455425,[TODO],[TODO]
dp455427,8,[TODO: DPM lookup] dp455427,[TODO],[TODO]
dp455448,2,[TODO: DPM lookup] dp455448,[TODO],[TODO]
dp455449,2,[TODO: DPM lookup] dp455449,[TODO],[TODO]
dp455450,3,[TODO: DPM lookup] dp455450,[TODO],[TODO]
dp455476,2,[TODO: DPM lookup] dp455476,[TODO],[TODO]
dp455526,3,[TODO: DPM lookup] dp455526,[TODO],[TODO]
dp455527,3,[TODO: DPM lookup] dp455527,[TODO],[TODO]
dp455528,3,[TODO: DPM lookup] dp455528,[TODO],[TODO]
dp455561,2,[TODO: DPM lookup] dp455561,[TODO],[TODO]
dp455564,2,[TODO: DPM lookup] dp455564,[TODO],[TODO]
dp455567,2,[TODO: DPM lookup] dp455567,[TODO],[TODO]
dp455727,2,[TODO: DPM lookup] dp455727,[TODO],[TODO]
dp455729,2,[TODO: DPM lookup] dp455729,[TODO],[TODO]
dp455730,3,[TODO: DPM lookup] dp455730,[TODO],[TODO]
dp455735,4,[TODO: DPM lookup] dp455735,[TODO],[TODO]
dp455737,4,[TODO: DPM lookup] dp455737,[TODO],[TODO]
dp455738,4,[TODO: DPM lookup] dp455738,[TODO],[TODO]
dp455741,4,[TODO: DPM lookup] dp455741,[TODO],[TODO]
dp455742,4,[TODO: DPM lookup] dp455742,[TODO],[TODO]
dp455743,4,[TODO: DPM lookup] dp455743,[TODO],[TODO]
dp455798,2,[TODO: DPM lookup] dp455798,[TODO],[TODO]
dp455799,2,[TODO: DPM lookup] dp455799,[TODO],[TODO]
dp455800,3,[TODO: DPM lookup] dp455800,[TODO],[TODO]
dp455829,3,[TODO: DPM lookup] dp455829,[TODO],[TODO]
dp455830,2,[TODO: DPM lookup] dp455830,[TODO],[TODO]
dp455831,2,[TODO: DPM lookup] dp455831,[TODO],[TODO]
dp455834,4,[TODO: DPM lookup] dp455834,[TODO],[TODO]
dp455835,2,[TODO: DPM lookup] dp455835,[TODO],[TODO]
dp455836,2,[TODO: DPM lookup] dp455836,[TODO],[TODO]
dp455850,9,[TODO: DPM lookup] dp455850,[TODO],[TODO]
